N	2gram	Bakhtin_sl_2	VrazhdaK
1	не только	24	9
2	в этом	16	8
3	и в	39	8
4	но и	21	7
5	что в	3	7
6	то что	2	7
7	и все	5	7
8	в нем	19	6
9	все же	6	6
10	и даже	7	6
11	в романе	46	6
12	как и	6	6
13	но в	6	6
14	и с	9	6
15	о нем	2	6
16	то же	4	5
17	не было	2	5
18	и не	22	5
19	у него	3	5
20	между тем	3	5
21	в то	4	5
22	же время	4	5
23	уже в	2	4
24	для нас	5	4
25	как бы	7	4
26	все это	16	4
27	это не	5	4
28	что он	2	4
29	с ним	7	4
30	х годов	2	4
31	может быть	37	4
32	при этом	7	4
33	в истории	11	4
34	о том	2	4
35	в ней	3	4
36	с его	7	3
37	связи с	3	3
38	в своем	6	3
39	эти слова	2	3
40	в связи	2	3
41	человека в	5	3
42	в том	5	3
43	и его	33	3
44	том что	5	3
45	и как	3	3
46	в его	7	3
47	далеко не	2	3
48	его в	4	3
49	но он	2	3
50	в чем	3	3
51	одним из	2	3
52	он не	2	3
53	и т.п	2	2
54	в роман	3	2
55	не менее	4	2
56	никогда не	7	2
57	вместе с	2	2
58	его и	2	2
59	в них	6	2
60	так в	2	2
61	не может	20	2
62	а в	4	2
63	отношения к	4	2
64	таким образом	8	2
65	рядом с	3	2
66	п в	2	2
67	но это	3	2
68	в той	4	2
69	уже не	5	2
70	с которым	2	2
71	с точки	3	2
72	но как	2	2
73	точки зрения	8	2
74	в свою	3	2
75	в себе	2	2
76	отношение к	4	2
77	для него	7	2
78	еще не	7	2
79	одна из	4	2
80	а также	3	2
81	в него	7	2
