N	3gram	Tiupa_Hudo_1	DiskursI
1	в том что	7	13
2	с одной стороны	2	9
3	по отношению к	9	9
4	в отличие от	7	4
5	то же время	5	4
6	с другой стороны	5	3
7	той или иной	4	3
8	в свою очередь	2	3
9	не может быть	3	3
10	в то же	5	3
11	а с другой	2	3
12	в том числе	2	2
13	можно сказать что	3	2
14	и того же	2	2
15	значении этого термина	2	2
16	одного и того	2	2
17	состоит в том	5	2
18	и в форме	2	2
19	по сути своей	2	2
20	индивидуального речевого замысла	2	2
21	мы имеем дело	2	2
22	не сводится к	5	2
23	более или менее	5	2
24	по своей природе	2	2
25	тот или иной	2	2
