N	3gram	Bakhtin_Pr_3	Problemy
1	с точки зрения	4	15
2	по отношению к	5	11
3	в этом смысле	4	9
4	то же время	12	7
5	в то же	12	7
6	о себе самом	5	6
7	в романах достоевского	3	6
8	в его целом	2	5
9	в конце концов	3	4
10	в мире достоевского	3	4
11	в творчестве достоевского	3	4
12	и в этом	2	3
13	самого героя и	2	3
14	бы то ни	4	3
15	человек из подполья	7	3
16	подобно тому как	2	3
17	не может быть	6	3
18	во всяком случае	5	3
19	человека из подполья	13	3
20	на самом деле	10	3
21	и в то	5	3
22	записок из подполья	3	3
23	друг с другом	2	3
24	с самого начала	8	2
25	по крайней мере	3	2
26	в самом деле	3	2
27	о том что	2	2
28	в большинстве случаев	2	2
29	и не может	2	2
30	же время не	2	2
31	в произведениях достоевского	2	2
32	то ни было	4	2
33	в отличие от	2	2
34	героя и его	2	2
35	с другой стороны	3	2
36	хотя бы и	2	2
37	к нему и	5	2
38	но в то	3	2
39	именно потому что	2	2
40	выходит за пределы	2	2
