N	2gram	Nazirov_Tv_2	KFilosof
1	может быть	8	43
2	в его	10	39
3	в нем	3	31
4	не может	7	27
5	и не	9	26
6	по отношению	3	25
7	и в	20	22
8	в котором	3	21
9	отношению к	3	21
10	в себе	3	21
11	в ее	2	17
12	а не	6	17
13	и его	9	17
14	только в	2	16
15	в этом	8	13
16	для него	3	12
17	но не	5	12
18	и это	3	12
19	все эти	4	11
20	в своей	6	11
21	не в	4	11
22	это не	7	10
23	все это	6	10
24	и есть	2	9
25	в целом	6	9
26	но и	8	9
27	в их	3	9
28	как бы	11	9
29	не было	2	8
30	если бы	4	8
31	вовсе не	2	7
32	то что	3	7
33	себя в	2	7
34	я не	2	6
35	в том	8	6
36	но это	5	6
37	и только	2	6
38	в мире	5	6
39	отнюдь не	4	6
40	он не	3	6
41	уже не	3	6
42	никогда не	11	5
43	но эта	2	5
44	то же	7	5
45	именно в	6	5
46	в основе	2	5
47	но ведь	2	5
48	его в	3	5
49	с ним	3	5
50	но в	4	5
51	жизни в	3	5
52	как и	6	5
53	что я	2	5
54	не только	13	5
55	все же	5	5
56	место в	3	4
57	что в	7	4
58	при этом	8	4
59	в своих	3	4
60	с ними	2	4
61	между тем	3	4
62	проникает в	2	4
63	в одном	2	4
64	том что	4	4
65	а в	4	4
66	тем самым	4	4
67	познания и	2	4
68	в чем	4	4
69	не менее	2	3
70	целом и	2	3
71	я буду	2	3
72	рядом с	2	3
73	и на	5	3
74	в то	10	3
75	о том	5	3
76	мы не	4	3
77	еще не	5	3
78	для которого	2	3
79	нет и	2	3
80	бы не	2	3
81	самом деле	2	3
82	только с	2	3
83	что не	3	3
84	что этот	2	3
85	тем что	3	3
86	могут быть	2	3
87	ничего не	4	3
88	а с	3	2
89	это уже	2	2
90	его и	2	2
91	прежде всего	8	2
92	соответствии с	4	2
93	же время	7	2
94	и мы	3	2
95	и других	2	2
96	в принципе	4	2
97	отказаться от	2	2
98	философии но	2	2
99	потому что	7	2
100	говорить о	2	2
101	ни к	2	2
102	к этому	3	2
103	что он	6	2
104	в соответствии	4	2
105	этот факт	2	2
106	и потому	4	2
107	в процессе	2	2
108	так и	6	2
109	как в	4	2
110	в ту	2	2
111	в виде	2	2
112	если не	4	2
113	сводится к	2	2
114	в этой	5	2
115	которой он	2	2
116	едва ли	2	2
117	же с	9	2
