N	2gram	Trubetskoy_1	Narrotol
1	не только	10	26
2	а не	5	17
3	представляет собой	3	16
4	но и	9	15
5	в том	11	14
6	при этом	3	14
7	в качестве	3	14
8	и не	8	14
9	том что	7	13
10	и в	26	13
11	в этом	15	13
12	состоит в	2	12
13	только в	4	11
14	может быть	10	10
15	к тому	6	9
16	так и	6	9
17	а в	4	9
18	то есть	4	9
19	то что	7	8
20	в себе	6	8
21	не может	4	8
22	не в	2	8
23	в рамках	3	6
24	никогда не	5	6
25	в своем	3	6
26	прежде всего	2	6
27	можно сказать	3	6
28	и к	5	6
29	вслед за	2	6
30	того что	3	6
31	в его	5	6
32	все же	6	6
33	как бы	12	6
34	а также	2	6
35	но в	7	6
36	точки зрения	13	5
37	тем не	3	5
38	что он	4	5
39	одной стороны	7	5
40	он не	4	5
41	в котором	4	5
42	в нем	4	5
43	отношению к	3	5
44	таким образом	22	5
45	с одной	7	5
46	с другой	8	5
47	в то	4	5
48	далеко не	4	5
49	о том	6	5
50	что это	3	4
51	не менее	3	4
52	если бы	3	4
53	в глазах	2	4
54	в конце	6	4
55	тому же	5	4
56	все что	2	4
57	что в	9	4
58	для него	3	4
59	не к	2	4
60	жизни и	2	4
61	то же	4	4
62	уже не	3	4
63	в мире	5	4
64	и у	8	4
65	свидетельствует о	2	4
66	в силу	5	4
67	в этой	4	4
68	и т.д	6	4
69	и все	2	4
70	но при	2	4
71	с его	2	3
72	мы имеем	2	3
73	или иной	2	3
74	о котором	2	3
75	но не	8	3
76	же время	2	3
77	к его	2	3
78	той или	2	3
79	один из	2	3
80	все эти	6	3
81	того чтобы	5	3
82	и даже	3	3
83	и по	4	3
84	и для	5	3
85	в таком	3	3
86	с этой	3	3
87	этом отношении	2	3
88	сказать что	2	3
89	между тем	2	3
90	по своей	2	3
91	же как	3	2
92	только не	2	2
93	можно назвать	2	2
94	должен был	4	2
95	одно из	2	2
96	превращается в	2	2
97	хотя бы	3	2
98	из этих	10	2
99	точно так	3	2
100	и здесь	2	2
101	в свою	2	2
102	на то	2	2
103	в начале	2	2
104	по своему	2	2
105	как о	3	2
106	когда же	2	2
107	еще не	2	2
108	со всеми	2	2
109	мысль о	2	2
110	ему в	2	2
111	в самом	4	2
112	несмотря на	6	2
113	не вполне	3	2
114	не могло	2	2
115	что и	6	2
116	в процессе	2	2
117	в других	3	2
118	а с	7	2
119	если не	2	2
120	именно в	2	2
121	в течение	4	2
122	те же	2	2
123	и что	4	2
124	только что	2	2
125	с точки	6	2
126	не имеет	5	2
127	так же	5	2
128	как на	8	2
129	или иначе	3	2
130	в результате	3	2
131	в виде	4	2
132	во время	4	2
133	потому что	7	2
134	в области	9	2
135	к которому	2	2
