N	2gram	Voloshinov_1	DiskursI
1	не только	4	28
2	в том	6	23
3	а не	5	22
4	том что	5	19
5	может быть	14	17
6	и в	12	16
7	как и	5	16
8	в этом	4	15
9	еще не	3	14
10	но и	3	14
11	при этом	6	13
12	прежде всего	8	11
13	но не	2	11
14	и не	10	11
15	с другой	4	10
16	как в	5	10
17	в нем	6	9
18	отношению к	11	9
19	одной стороны	2	9
20	по отношению	11	9
21	не может	16	9
22	с одной	2	9
23	отнюдь не	5	8
24	так и	4	8
25	о том	3	8
26	но в	5	8
27	в его	2	7
28	то же	5	7
29	в себе	3	7
30	только в	6	7
31	не в	4	7
32	в своем	2	6
33	можно сказать	5	5
34	тому же	2	5
35	как бы	13	5
36	в котором	3	5
37	в своей	3	5
38	то что	5	5
39	в процессе	6	5
40	в себя	2	5
41	по природе	2	5
42	и на	4	5
43	в данном	2	5
44	с его	2	4
45	что в	2	4
46	в них	3	4
47	и к	4	4
48	уже не	4	4
49	для него	3	4
50	отношение к	4	4
51	в особенности	2	4
52	что не	4	4
53	между тем	3	4
54	могут быть	2	4
55	это не	2	3
56	как уже	2	3
57	по себе	3	3
58	что и	2	3
59	в самом	4	3
60	имеет место	2	3
61	к ним	2	3
62	хотя бы	5	3
63	все же	4	3
64	к содержанию	6	3
65	как не	2	3
66	таким образом	12	3
67	того что	3	3
68	другой стороны	2	3
69	сказать что	7	3
70	точки зрения	14	3
71	в то	2	3
72	и потому	2	3
73	общения не	2	2
74	частной жизни	2	2
75	известной степени	2	2
76	зависит от	2	2
77	не менее	3	2
78	никогда не	5	2
79	социального взаимодействия	3	2
80	между собой	2	2
81	в какой	2	2
82	и все	2	2
83	за его	2	2
84	к этому	2	2
85	в литературе	4	2
86	стороны и	2	2
87	к его	2	2
88	но зато	2	2
89	его как	2	2
90	но отнюдь	2	2
91	в пределах	3	2
92	более того	2	2
93	общения и	2	2
94	совпадает с	2	2
95	и др	5	2
96	оно не	2	2
97	точка зрения	3	2
98	не есть	2	2
99	когда он	3	2
100	героя и	5	2
101	в форме	2	2
102	данном случае	2	2
103	за пределы	4	2
104	дело с	2	2
105	как к	3	2
106	уже в	2	2
107	и что	2	2
108	высказывания с	2	2
109	и герой	3	2
110	и по	3	2
111	высказывания и	2	2
112	и его	13	2
113	в момент	2	2
114	мы имеем	2	2
115	и ее	3	2
116	форма высказывания	2	2
117	и вообще	3	2
118	же самое	2	2
119	внутренней речи	3	2
120	едва ли	2	2
121	в виду	5	2
