N	2gram	Savitsky_P_1	Stilisti
1	и в	14	42
2	как бы	4	27
3	не только	17	27
4	прежде всего	3	22
5	хотя бы	8	17
6	но и	6	15
7	то же	9	15
8	и не	12	14
9	может быть	5	12
10	не может	4	12
11	точки зрения	3	11
12	и как	3	10
13	что мы	3	10
14	мы должны	4	10
15	отнюдь не	2	10
16	в этом	10	10
17	в то	7	9
18	то что	4	9
19	для того	3	9
20	мы не	3	9
21	в ней	6	8
22	с тем	3	8
23	тем самым	3	8
24	в себе	3	8
25	и это	2	8
26	же время	7	7
27	и тем	2	7
28	потому что	3	7
29	было бы	6	7
30	а не	2	7
31	только в	7	7
32	не в	5	6
33	в нем	3	6
34	во всех	2	6
35	в области	11	6
36	а в	4	5
37	и с	2	5
38	точек зрения	2	5
39	в его	2	5
40	с точки	3	5
41	и без	3	4
42	было в	2	4
43	в качестве	9	4
44	все это	2	4
45	того что	2	4
46	но в	9	4
47	если бы	4	4
48	и к	4	4
49	так называемые	2	4
50	и пр	5	4
51	это не	3	3
52	главным образом	2	3
53	слова но	2	3
54	для нас	2	3
55	хотя и	3	3
56	в котором	4	3
57	не к	2	3
58	из них	2	3
59	заключает в	2	3
60	и вот	2	3
61	в начале	2	3
62	теперь в	2	3
63	в ее	2	3
64	том что	4	3
65	отношения к	2	3
66	да и	2	3
67	быть может	6	2
68	в частности	2	2
69	друг другу	2	2
70	не нужно	2	2
71	в мире	2	2
72	в том	9	2
73	в пределах	8	2
74	в отношении	10	2
75	не было	2	2
76	должно быть	2	2
77	в которых	5	2
78	я и	3	2
79	в жизни	2	2
80	для них	2	2
81	н о	5	2
82	в глубинах	2	2
83	с этим	2	2
84	есть не	2	2
85	но не	3	2
86	тот же	3	2
87	нужно было	2	2
88	помнить что	2	2
89	и потому	4	2
90	в значительной	2	2
91	к чему	2	2
