N	2gram	Tiupa_Anal_2	SlovoVZh
1	не может	4	16
2	точки зрения	4	14
3	может быть	6	14
4	и его	4	13
5	как бы	10	13
6	таким образом	2	12
7	и в	16	12
8	в нашем	3	11
9	отношению к	4	11
10	по отношению	4	11
11	и не	12	10
12	если бы	3	9
13	прежде всего	3	8
14	художественного произведения	2	7
15	сказать что	2	7
16	при этом	10	6
17	в том	12	6
18	только в	4	6
19	к предмету	2	5
20	то что	7	5
21	никогда не	3	5
22	а не	10	5
23	можно сказать	4	5
24	то же	4	5
25	как и	14	5
26	том что	12	5
27	отнюдь не	8	5
28	как в	4	5
29	но в	6	5
30	и к	5	4
31	так и	15	4
32	с другой	6	4
33	уже не	4	4
34	не в	4	4
35	в этом	18	4
36	и на	6	4
37	его в	2	4
38	в самом	6	4
39	за пределы	4	4
40	и является	4	4
41	не только	16	4
42	в котором	2	3
43	не менее	4	3
44	в своей	2	3
45	все это	4	3
46	по себе	2	3
47	но и	12	3
48	того что	2	3
49	тем не	3	3
50	так же	2	3
51	ведь и	2	3
52	о том	7	3
53	в себе	7	3
54	для него	4	3
55	в пределах	9	3
56	еще не	2	3
57	в поэзии	2	3
58	только на	3	3
59	и для	2	3
60	внутренней речи	4	3
61	с ним	2	3
62	между тем	2	3
63	место в	3	2
64	автора и	3	2
65	что и	3	2
66	что в	2	2
67	данном случае	5	2
68	вместе с	2	2
69	в этих	2	2
70	на него	2	2
71	в своем	4	2
72	другой стороны	2	2
73	мы имеем	3	2
74	и все	3	2
75	тому же	4	2
76	жизнью и	2	2
77	речи в	2	2
78	по природе	2	2
79	с одной	5	2
80	была бы	2	2
81	к этому	2	2
82	те же	2	2
83	в себя	4	2
84	выбор слова	3	2
85	и слово	2	2
86	едва ли	3	2
87	не есть	2	2
88	не так	4	2
89	с точки	2	2
90	его как	2	2
91	высказывания и	2	2
92	в данном	8	2
93	и то	3	2
94	но не	4	2
95	могут быть	10	2
96	выходят за	2	2
97	она не	2	2
98	в то	2	2
99	одной стороны	4	2
100	имеет место	4	2
101	как уже	3	2
102	как это	6	2
103	ничего не	9	2
104	к его	2	2
105	совпадает с	4	2
106	он не	2	2
107	в его	2	2
