N	3gram	Losev_Prob_1	Vvedenie
1	и т д	10	36
2	для того чтобы	8	20
3	о том что	5	12
4	в том что	5	12
5	тем не менее	18	8
6	не может быть	2	8
7	в этом смысле	6	8
8	в самом деле	2	6
9	в то же	4	6
10	до сих пор	3	6
11	с другой стороны	3	5
12	в данном случае	8	4
13	по крайней мере	2	4
14	можно было бы	2	4
15	что иное как	2	4
16	в этом случае	2	4
17	не что иное	2	4
18	и в этом	2	4
19	во всяком случае	3	4
20	так или иначе	2	4
21	именно в этом	2	3
22	с тем что	2	3
23	можно сказать что	3	3
24	и тем не	8	3
25	и в самом	2	3
26	что может быть	2	3
27	сама по себе	4	3
28	в конце концов	4	2
29	той или иной	4	2
30	а также и	2	2
31	по этому поводу	3	2
32	дело в том	3	2
33	что же касается	3	2
34	с точки зрения	3	2
35	точно так же	4	2
36	не говоря уже	2	2
37	то же самое	9	2
38	в этих случаях	2	2
39	есть не что	2	2
40	в связи с	4	2
41	может быть и	3	2
42	на том что	2	2
43	подобно тому как	2	2
44	что в нем	3	2
