N	3gram	Vinokur_Ku_1	Problema
1	о том что	5	14
2	тем не менее	4	12
3	во всяком случае	5	10
4	в этом случае	2	7
5	и т д	14	6
6	по крайней мере	5	6
7	так или иначе	2	6
8	в этом смысле	3	5
9	того или иного	3	5
10	с другой стороны	6	5
11	в связи с	3	5
12	на то что	2	4
13	более или менее	3	4
14	только в том	3	4
15	до сих пор	4	4
16	в то же	2	4
17	в том что	15	4
18	и вовсе не	2	4
19	хотя бы и	2	3
20	не может быть	3	3
21	для того чтобы	15	2
22	в самом деле	7	2
23	можно было бы	3	2
24	на самом деле	2	2
25	заключается в том	2	2
