N	2gram	Nazirov_Tv_1	Hudozhes
1	в мире	4	23
2	в качестве	2	19
3	то есть	12	18
4	и не	7	16
5	в том	7	15
6	и в	21	15
7	не только	7	15
8	в частности	2	13
9	может быть	5	13
10	при этом	7	12
11	а в	6	12
12	и его	6	12
13	но не	3	11
14	в этом	6	11
15	в себе	2	11
16	представляет собой	3	10
17	как бы	17	10
18	но и	3	10
19	так и	2	10
20	то же	13	10
21	а не	5	10
22	в его	13	9
23	своего рода	4	8
24	с другой	3	7
25	в отличие	2	7
26	в принципе	2	7
27	в то	15	7
28	отличие от	2	7
29	но в	7	7
30	я и	3	7
31	в основе	2	6
32	с его	11	6
33	что в	12	6
34	том что	11	6
35	не в	2	6
36	же время	12	6
37	приводит к	2	6
38	не может	4	6
39	могут быть	2	5
40	по сути	4	5
41	можно сказать	2	5
42	только в	5	5
43	тем самым	7	5
44	в самом	3	5
45	того что	3	5
46	в нем	3	5
47	с ее	3	5
48	то что	8	5
49	в их	3	5
50	уже не	3	5
51	героя и	2	5
52	место в	3	4
53	в этих	2	4
54	не столько	2	4
55	личности в	2	4
56	прежде всего	4	4
57	к тому	2	4
58	и как	4	4
59	для него	6	4
60	хотя и	3	4
61	он не	8	4
62	и тем	2	4
63	в своей	4	4
64	во времени	3	4
65	как к	2	4
66	самим собой	4	4
67	сказать что	2	4
68	не знает	2	4
69	личности и	2	3
70	не менее	6	3
71	однако в	2	3
72	конечном счете	4	3
73	это не	4	3
74	что он	6	3
75	тем не	2	3
76	и того	2	3
77	того же	2	3
78	в свою	7	3
79	в конечном	4	3
80	далеко не	3	3
81	авторской позиции	3	3
82	не будет	2	3
83	в целом	4	3
84	таким образом	5	3
85	как и	12	3
86	во всей	2	3
87	в рассказе	3	3
88	не случайно	4	3
89	потому что	5	3
90	но он	2	3
91	в данном	2	3
92	в русской	5	3
93	человека с	2	3
94	в которой	3	3
95	на деле	2	3
96	в виду	2	3
97	я не	3	2
98	жизни в	6	2
99	в своем	4	2
100	в пространстве	2	2
101	человека и	4	2
102	вовсе не	5	2
103	в литературе	2	2
104	об этом	2	2
105	одна из	2	2
106	времени и	4	2
107	в глаза	2	2
108	говорит что	2	2
109	мира в	2	2
110	одной из	4	2
111	для автора	2	2
112	к жизни	2	2
113	даже в	3	2
114	по преимуществу	2	2
115	дело не	3	2
116	но она	2	2
117	русской литературе	4	2
118	как в	8	2
119	в романе	10	2
120	и притом	2	2
121	именно в	2	2
122	это и	3	2
123	в себя	2	2
124	в году	7	2
125	времени в	13	2
126	сути дела	3	2
127	и по	3	2
128	или в	2	2
129	так же	3	2
130	с ним	3	2
131	ведет к	2	2
132	и на	7	2
133	у него	7	2
134	человеческих отношений	3	2
135	в финале	4	2
136	в этой	5	2
137	о том	6	2
138	в чем	2	2
