N	2gram	Bakhtin_Pr_2	Morfolog
1	может быть	18	52
2	и пр	2	40
3	таким образом	11	20
4	не может	24	17
5	в этих	4	16
6	могут быть	4	15
7	и в	45	13
8	в этом	20	13
9	эта форма	2	13
10	и др	4	12
11	так как	5	12
12	перед нами	4	11
13	мы видим	2	11
14	прежде всего	11	9
15	так и	3	9
16	то же	5	9
17	и не	42	9
18	а не	10	9
19	мы имеем	2	9
20	что и	5	8
21	в результате	3	8
22	все же	4	7
23	или же	2	7
24	имеем в	2	7
25	это не	3	6
26	и здесь	2	6
27	в том	8	6
28	но не	6	6
29	в форме	2	6
30	а в	3	6
31	подобно тому	2	6
32	не менее	2	5
33	тому как	2	5
34	и другие	4	5
35	в образе	3	5
36	во всех	4	5
37	далеко не	4	5
38	как бы	15	5
39	один из	2	5
40	то что	5	5
41	или в	2	5
42	потому что	8	5
43	и затем	2	4
44	что в	6	4
45	и как	2	4
46	вовсе не	7	4
47	героя в	5	4
48	об этом	3	4
49	герой и	3	4
50	отношению к	8	4
51	было бы	4	4
52	на его	5	4
53	не только	16	4
54	в некоторых	2	4
55	как в	4	4
56	как мы	8	4
57	так же	5	4
58	по отношению	8	4
59	показать что	2	4
60	как и	14	4
61	там где	6	4
62	хотя и	2	4
63	тем что	2	4
64	точки зрения	19	4
65	с точки	9	4
66	его в	3	4
67	ничего не	3	4
68	только что	2	3
69	сам он	2	3
70	если бы	2	3
71	вступают в	2	3
72	в нашем	2	3
73	в начале	2	3
74	о герое	4	3
75	к герою	5	3
76	том что	7	3
77	но все	4	3
78	но это	2	3
79	что они	3	3
80	в целом	5	3
81	в пределах	4	3
82	в сущности	7	3
83	он не	9	3
84	не является	3	3
85	ни в	2	3
86	но и	15	3
87	на него	2	3
88	от того	2	3
89	входит в	9	3
90	самом деле	4	3
91	из которых	2	3
92	и по	2	3
93	к нему	11	3
94	и для	2	3
95	друг друга	7	3
96	мы можем	4	3
97	из них	9	3
98	и ее	7	3
99	в то	5	3
100	мы должны	4	3
101	героя и	7	3
102	но в	6	3
103	и более	2	2
104	его и	3	2
105	хотя бы	5	2
106	что эта	2	2
107	к этому	4	2
108	герою в	3	2
109	что он	7	2
110	можно сказать	2	2
111	и к	2	2
112	только в	9	2
113	от него	3	2
114	он приводит	2	2
115	а на	2	2
116	они и	2	2
117	в большинстве	2	2
118	есть и	3	2
119	для него	9	2
120	одной из	2	2
121	мы уже	3	2
122	с героем	2	2
123	не значит	2	2
124	себя и	2	2
125	себя в	2	2
126	а с	3	2
127	все эти	4	2
128	и что	2	2
129	того что	3	2
130	уже не	6	2
131	не имеет	3	2
132	и его	8	2
133	можно было	2	2
134	на героя	2	2
135	этот вопрос	4	2
136	не знает	4	2
137	или не	2	2
138	о том	3	2
139	в свое	2	2
140	здесь не	2	2
141	герой не	2	2
142	большинстве случаев	2	2
143	одна из	3	2
144	сказать что	5	2
145	как это	2	2
146	нашей работы	2	2
147	это было	2	2
