N	2gram	Bakhtin_KF_1	EvropaiE
1	и в	24	37
2	точки зрения	12	23
3	что в	4	21
4	не только	5	18
5	с точки	9	17
6	в то	3	16
7	хотя бы	4	15
8	то же	5	15
9	отношении к	2	15
10	в своем	16	14
11	в качестве	2	14
12	же время	2	14
13	но и	9	14
14	и не	26	14
15	но в	5	14
16	в этом	14	12
17	в их	8	11
18	в том	6	11
19	в области	2	11
20	так и	2	10
21	отнюдь не	6	9
22	прежде всего	2	9
23	в смысле	6	9
24	не может	27	9
25	в себе	21	9
26	только в	16	9
27	думать что	2	8
28	в ее	16	8
29	было бы	8	8
30	в своей	10	8
31	между тем	4	8
32	как и	5	7
33	по своему	3	7
34	того что	3	7
35	вовсе не	7	6
36	том что	4	6
37	может быть	45	6
38	для того	3	6
39	как бы	9	6
40	то что	7	6
41	во всех	11	6
42	того чтобы	2	6
43	и на	3	6
44	не в	12	5
45	но не	12	5
46	со стороны	7	5
47	тем самым	4	5
48	от этого	2	5
49	в виде	2	5
50	и потому	2	5
51	ни было	4	4
52	независимо от	3	4
53	то ни	2	4
54	именно в	5	4
55	в некотором	3	4
56	вопрос о	2	4
57	или иного	3	4
58	или иной	2	4
59	бы то	2	4
60	в ней	3	4
61	той или	3	4
62	в процессе	2	4
63	по себе	2	4
64	для нас	4	4
65	мы не	3	4
66	не имеет	5	4
67	в каком	4	4
68	того или	3	4
69	мира в	6	4
70	место в	5	3
71	с тем	2	3
72	на своем	3	3
73	никогда не	5	3
74	жизни в	5	3
75	этом смысле	3	3
76	ли это	2	3
77	в свою	3	3
78	не дает	3	3
79	и мы	2	3
80	и тем	3	3
81	что и	7	3
82	не будет	2	3
83	бы и	3	3
84	как в	2	3
85	и только	6	3
86	и для	9	3
87	не из	2	3
88	к ним	4	3
89	потому что	2	3
90	тем что	3	3
91	в данном	2	3
92	этот факт	2	3
93	о том	3	3
94	дело в	2	3
95	там где	5	3
96	мира и	4	3
97	культурные ценности	3	2
98	а не	17	2
99	еще более	2	2
100	мира не	3	2
101	и все	7	2
102	в одном	4	2
103	к нему	12	2
104	и эта	2	2
105	не нужно	2	2
106	при условии	2	2
107	будет ли	2	2
108	за вычетом	6	2
109	и того	2	2
110	и как	2	2
111	но как	5	2
112	должна быть	4	2
113	что это	3	2
114	кажется что	2	2
115	на язык	3	2
116	он не	6	2
117	в его	40	2
118	и этот	3	2
119	в котором	24	2
120	не есть	20	2
121	поскольку она	2	2
122	в мире	6	2
123	мира но	4	2
124	жизни и	8	2
125	во всей	4	2
126	могут стать	2	2
127	а в	4	2
128	если бы	8	2
129	и других	2	2
130	культуры и	5	2
131	ко всему	5	2
132	поскольку он	2	2
133	на основе	7	2
134	в своих	3	2
135	и та	2	2
136	могут быть	3	2
137	в этой	2	2
138	и то	2	2
139	стороны в	3	2
140	его на	2	2
141	как оно	2	2
142	тогда когда	3	2
