N	3gram	Tiupa_Hudo_2	Narrotol
1	в данном случае	2	8
2	даме с собачкой	6	6
3	не только в	2	6
4	в даме с	5	5
5	с анной сергеевной	2	5
6	в том что	11	5
7	к тому же	2	5
8	то же время	4	4
9	в соответствии с	3	4
10	не может быть	3	4
11	в то же	4	4
12	на другой день	2	3
13	подобно тому как	4	3
14	в этом и	2	3
15	по отношению к	7	3
16	тем не менее	3	3
17	для того чтобы	3	3
18	так и не	4	2
19	состоит в том	2	2
20	в самом деле	3	2
21	что у нее	2	2
22	вместе с серым	2	2
23	о том что	7	2
24	до сих пор	2	2
25	то же самое	2	2
26	идет по полю	2	2
