N	2gram	Ircho_Kome_1	KulturaY
1	и т	9	54
2	т п	5	41
3	т е	13	32
4	и в	22	23
5	точки зрения	4	23
6	в том	11	22
7	не только	10	17
8	было бы	2	16
9	в этом	3	16
10	в области	2	14
11	может быть	9	14
12	что в	6	13
13	в самом	2	13
14	не менее	3	12
15	потому что	5	12
16	вопрос о	3	11
17	том что	12	11
18	в его	5	11
19	у нас	3	10
20	и не	8	10
21	прежде всего	5	9
22	тем не	2	9
23	еще не	2	9
24	таким образом	8	9
25	так как	4	9
26	до сих	2	8
27	между прочим	2	8
28	сих пор	2	8
29	т д	4	8
30	с другой	5	7
31	как это	3	7
32	того как	3	7
33	для этого	2	6
34	что и	4	6
35	что он	6	6
36	в силу	2	6
37	после того	3	6
38	тот же	3	6
39	при этом	5	6
40	и тем	2	6
41	так и	5	6
42	в их	4	6
43	не может	2	6
44	то же	6	6
45	могут быть	3	6
46	только в	3	6
47	о том	8	6
48	ничего не	3	6
49	в рамках	2	5
50	независимо от	2	5
51	вовсе не	2	5
52	как и	9	5
53	не в	6	5
54	хотя и	3	5
55	все же	3	5
56	как мы	4	5
57	а в	6	5
58	но это	2	5
59	тем что	4	5
60	в чем	3	5
61	ясно что	4	4
62	один из	5	4
63	а также	4	4
64	в целом	3	4
65	того же	2	4
66	одной стороны	3	4
67	столь же	2	4
68	в сущности	2	4
69	и о	3	4
70	то что	2	4
71	как в	5	4
72	как раз	3	4
73	с одной	3	4
74	между тем	5	4
75	тех же	2	4
76	уже в	5	3
77	именно в	4	3
78	к тому	6	3
79	в отношении	6	3
80	ни в	6	3
81	мы видели	2	3
82	но не	2	3
83	по поводу	4	3
84	в первую	2	3
85	он не	3	3
86	речь идет	3	3
87	отношение к	3	3
88	но и	11	3
89	на него	4	3
90	первую очередь	3	3
91	о содержании	2	3
92	по отношению	3	3
93	другой стороны	5	3
94	тому же	6	3
95	и вот	4	3
96	мы не	3	3
97	и с	3	3
98	всего этого	2	3
99	нас в	2	3
100	в результате	4	3
101	в то	10	3
102	такой же	2	2
103	все это	5	2
104	в известном	2	2
105	в частности	3	2
106	нельзя не	2	2
107	в одном	8	2
108	этом что	2	2
109	главным образом	3	2
110	в тех	3	2
111	точек зрения	2	2
112	и здесь	2	2
113	и как	3	2
114	из всего	2	2
115	что они	4	2
116	по своему	3	2
117	а то	2	2
118	это еще	2	2
119	в качестве	4	2
120	мог бы	2	2
121	за пределы	2	2
122	указывает что	2	2
123	в котором	4	2
124	однако в	3	2
125	его в	3	2
126	говоря уже	2	2
127	отношению к	3	2
128	вместе с	2	2
129	не говоря	2	2
130	уже о	2	2
131	или менее	2	2
132	и без	2	2
133	так в	4	2
134	то и	2	2
135	только что	2	2
136	мы найдем	2	2
137	путь к	2	2
138	именно на	2	2
139	так же	3	2
140	по адресу	14	2
141	на себя	2	2
142	во всяком	2	2
143	чем же	2	2
144	на протяжении	4	2
145	на этом	2	2
146	еще и	2	2
147	относится к	2	2
148	отличие от	2	2
149	но в	4	2
150	е в	2	2
