N	3gram	Potebnia_M_2	Psycholo
1	в том что	7	17
2	для того чтобы	2	13
3	с таким образом	2	8
4	не может быть	2	8
5	и т п	3	8
6	на то что	3	6
7	до сих пор	4	5
8	на самом деле	2	5
9	сам по себе	4	4
10	тем не менее	5	4
11	в то время	4	3
12	сами по себе	7	3
13	само по себе	2	3
14	только потому что	2	2
15	в свою очередь	6	2
16	то же время	2	2
17	заключает в себе	4	2
18	во всяком случае	7	2
19	таким образом в	2	2
20	подобно тому как	4	2
21	в то же	2	2
22	и т д	3	2
23	не в том	2	2
24	то время как	3	2
25	с другой стороны	2	2
