N	2gram	Medvedev_U_1	VLabPisa
1	таким образом	2	27
2	в этом	7	26
3	и в	14	25
4	не только	10	22
5	может быть	6	21
6	хотя бы	5	20
7	и не	8	19
8	художественного творчества	5	18
9	не может	7	17
10	в его	2	15
11	прежде всего	8	13
12	в том	2	13
13	этом отношении	2	13
14	в частности	3	12
15	все это	5	12
16	с другой	4	11
17	не могут	2	10
18	в художественном	5	10
19	для него	3	9
20	но и	4	9
21	то же	5	9
22	другой стороны	3	8
23	могут быть	2	8
24	не следует	3	8
25	как и	3	7
26	том что	2	7
27	было бы	3	7
28	в конечном	4	7
29	а не	10	7
30	это не	3	6
31	художественного произведения	2	6
32	в себе	2	6
33	то что	7	6
34	бы и	2	6
35	между тем	2	6
36	в то	3	6
37	художественном творчестве	2	6
38	думается что	2	5
39	же время	3	5
40	конечном счете	4	5
41	все же	3	5
42	очевидно что	3	5
43	в искусстве	6	5
44	одним из	2	5
45	в их	4	5
46	только в	2	5
47	не в	2	5
48	их и	2	4
49	что все	2	4
50	что он	2	4
51	с его	2	4
52	художественном произведении	2	4
53	в своей	3	4
54	в самом	2	4
55	художественное произведение	5	4
56	как раз	2	4
57	вот почему	7	4
58	в этой	4	4
59	всех этих	2	3
60	даже и	2	3
61	в конце	2	3
62	у нас	3	3
63	по существу	2	3
64	что и	2	3
65	говоря иначе	2	3
66	этой области	3	3
67	сводится к	2	3
68	а о	2	2
69	но даже	2	2
70	и формы	3	2
71	формы и	2	2
72	по крайней	2	2
73	к сожалению	3	2
74	а как	2	2
75	по себе	2	2
76	крайней мере	2	2
77	не приходится	2	2
78	до сих	2	2
79	но не	2	2
80	в системе	2	2
81	же самое	2	2
82	если бы	2	2
83	меньшей степени	2	2
84	что она	2	2
85	конце концов	2	2
86	сих пор	2	2
87	все они	2	2
88	и через	2	2
89	что такое	4	2
90	и для	2	2
91	не столько	2	2
92	не о	3	2
93	что мы	2	2
94	в области	3	2
95	о чем	2	2
96	но в	3	2
