N	2gram	Propp_Russ_1	Problema
1	то есть	3	46
2	в его	2	43
3	и не	6	42
4	и в	36	38
5	не может	4	27
6	может быть	8	26
7	как бы	5	22
8	отнюдь не	2	19
9	и с	2	17
10	в нем	2	15
11	в этом	12	15
12	и т	10	14
13	независимо от	2	13
14	только в	4	13
15	но не	2	12
16	к материалу	2	11
17	во всех	4	11
18	и для	2	11
19	в области	3	11
20	в их	4	10
21	таким образом	6	10
22	но и	16	9
23	не имеет	6	9
24	не только	22	9
25	в том	17	8
26	и как	2	8
27	и др	4	8
28	точки зрения	3	8
29	то что	6	8
30	входит в	4	8
31	слова в	3	7
32	что в	19	7
33	между тем	7	7
34	как и	10	7
35	еще не	4	7
36	как мы	10	7
37	а в	9	6
38	все же	5	6
39	с точки	3	6
40	мы можем	2	6
41	там где	2	6
42	ничего не	3	6
43	то же	3	5
44	в своем	3	5
45	это не	10	5
46	при этом	6	5
47	имеет место	2	5
48	все эти	2	5
49	далеко не	3	5
50	с ним	2	5
51	в них	6	5
52	в большинстве	2	5
53	так и	7	5
54	не на	2	5
55	большинстве случаев	2	5
56	а не	2	5
57	могут быть	2	5
58	не менее	3	4
59	в нашем	2	4
60	на самом	2	4
61	только по	2	4
62	в ней	2	4
63	в других	11	4
64	с ними	5	4
65	в более	2	4
66	о том	8	4
67	и потому	2	4
68	но в	2	4
69	но они	3	4
70	не с	3	4
71	как в	5	4
72	себя и	2	3
73	в тех	4	3
74	тем не	3	3
75	его как	2	3
76	в дальнейшем	2	3
77	но это	4	3
78	несмотря на	3	3
79	например в	2	3
80	хотя и	2	3
81	в целом	2	3
82	природы и	2	3
83	все это	6	3
84	и другими	2	3
85	и на	10	3
86	иногда и	5	3
87	и к	3	3
88	том что	19	3
89	мы увидим	8	3
90	не будем	3	3
91	приводит к	3	3
92	чем в	2	2
93	на этом	3	2
94	и другие	13	2
95	в частности	2	2
96	в равной	2	2
97	в этих	3	2
98	области изучения	2	2
99	в какой	2	2
100	в каждом	2	2
101	от них	3	2
102	связаны с	3	2
103	не можем	3	2
104	в свою	3	2
105	и пр	2	2
106	что это	3	2
107	и у	5	2
108	но она	2	2
109	можно сделать	3	2
110	в связи	4	2
111	в особенности	2	2
112	не было	2	2
113	научное значение	2	2
114	и других	7	2
115	и что	4	2
116	того что	4	2
117	и те	3	2
118	и здесь	2	2
119	в своих	2	2
120	мы должны	2	2
121	а иногда	4	2
122	в россии	4	2
123	как это	8	2
124	мы имеем	4	2
125	и более	2	2
126	их и	3	2
127	к этому	4	2
128	у нас	8	2
129	по существу	4	2
130	в новый	6	2
131	связи с	4	2
132	одна из	4	2
133	она не	2	2
134	в некоторых	4	2
135	том же	2	2
136	так называемый	2	2
137	что и	7	2
138	можно говорить	2	2
139	или в	2	2
140	тем что	4	2
141	в виде	6	2
