N	3gram	Vygotskiy__4	EvropaiC
1	в том что	31	16
2	друг с другом	7	9
3	с точки зрения	11	8
4	на то что	4	7
5	для того чтобы	5	6
6	по сравнению с	3	5
7	в самом деле	6	5
8	в этой области	2	4
9	о том что	3	4
10	с другой стороны	8	4
11	в этом случае	3	4
12	и того же	5	3
13	в данном случае	2	3
14	так же как	5	3
15	одного и того	5	3
16	в целом ряде	2	3
17	в связи с	3	3
18	в настоящее время	2	3
19	не может не	2	3
20	и то что	4	3
21	заключается в том	14	3
22	в том виде	2	2
23	в вопросе о	2	2
24	в свою очередь	2	2
25	между этими двумя	2	2
26	с одной стороны	9	2
27	но так как	2	2
28	а с другой	2	2
29	во всяком случае	3	2
30	вместе с тем	3	2
