N	2gram	Bakhtin_Pr_2	Tvorches
1	у достоевского	14	30
2	и в	43	20
3	в романе	3	15
4	романах достоевского	2	13
5	не только	11	13
6	и т	13	13
7	в романах	3	13
8	никогда не	9	11
9	т д	4	11
10	как бы	22	11
11	в его	10	10
12	таким образом	5	10
13	в то	7	10
14	достоевского в	4	9
15	и его	8	9
16	и не	29	9
17	прежде всего	10	8
18	достоевского не	3	8
19	в том	6	8
20	достоевского как	2	8
21	при этом	6	8
22	ивана карамазова	2	8
23	но и	14	8
24	может быть	23	8
25	в этом	13	8
26	и с	5	8
27	это не	3	7
28	же время	5	7
29	что в	4	7
30	не может	18	7
31	то же	8	7
32	достоевский в	4	7
33	у него	6	6
34	в конце	2	6
35	что он	13	6
36	романе достоевского	2	6
37	как и	14	6
38	из подполья	2	6
39	в целом	2	6
40	в своей	4	6
41	так и	3	6
42	все это	5	6
43	а не	7	6
44	но это	4	5
45	еще не	9	5
46	но не	5	5
47	достоевский не	2	5
48	и сам	7	5
49	например в	2	5
50	все же	3	5
51	и даже	3	5
52	так же	2	5
53	и на	10	5
54	о том	5	5
55	героев достоевского	4	5
56	в творчестве	2	5
57	то есть	4	5
58	об этом	2	4
59	что у	2	4
60	мы не	4	4
61	том что	2	4
62	хотя и	5	4
63	когда он	3	4
64	как в	2	4
65	все эти	5	4
66	героя в	3	4
67	не в	11	4
68	а в	5	4
69	творчестве достоевского	3	4
70	ничего не	3	4
71	если бы	3	4
72	но в	10	4
73	а с	2	3
74	он сам	3	3
75	превращается в	2	3
76	мире достоевского	2	3
77	в одной	3	3
78	человека и	2	3
79	в образе	2	3
80	с ним	3	3
81	но зато	3	3
82	а затем	2	3
83	отношению к	5	3
84	одна из	2	3
85	достоевского нет	2	3
86	достоевского это	3	3
87	для него	8	3
88	что не	2	3
89	в самом	7	3
90	он не	9	3
91	в котором	6	3
92	и др	2	3
93	в нем	12	3
94	то что	7	3
95	и это	4	3
96	сих пор	7	3
97	в их	3	3
98	достоевского но	3	3
99	по отношению	5	3
100	с большим	2	3
101	так как	4	3
102	человека в	4	3
103	уже не	3	3
104	в таком	2	3
105	этот вопрос	4	3
106	в рассказе	3	3
107	тем что	3	3
108	в своих	2	3
109	в которых	2	3
110	в себе	5	3
111	его в	3	3
112	между тем	3	3
113	до сих	7	3
114	уже в	2	2
115	себя на	2	2
116	не менее	3	2
117	его и	2	2
118	и без	2	2
119	с другой	4	2
120	в стороне	2	2
121	в такой	2	2
122	в одном	12	2
123	я не	4	2
124	вовсе не	5	2
125	во всяком	2	2
126	такой же	3	2
127	и ее	3	2
128	что на	2	2
129	тому же	3	2
130	у нас	2	2
131	так что	5	2
132	более того	4	2
133	что я	6	2
134	к миру	2	2
135	в произведениях	3	2
136	у тургенева	4	2
137	том же	4	2
138	себя в	3	2
139	в первой	2	2
140	него в	3	2
141	в процессе	2	2
142	но эти	4	2
143	на него	3	2
144	приводит к	6	2
145	что идея	2	2
146	к самому	3	2
147	в отличие	4	2
148	т п	9	2
149	для автора	2	2
150	бы не	2	2
151	уже после	2	2
152	достоевского и	2	2
153	но эта	2	2
154	образ человека	2	2
155	самом деле	5	2
156	и что	5	2
157	может служить	2	2
158	и наконец	6	2
159	на этот	4	2
160	в литературной	2	2
161	другой стороны	3	2
162	и он	5	2
163	особенно в	2	2
164	рядом с	5	2
165	с ними	2	2
166	что этот	2	2
167	героя с	3	2
168	из них	2	2
169	в виде	3	2
170	могут быть	3	2
171	известно что	2	2
172	для достоевского	3	2
173	и еще	2	2
174	с другим	2	2
175	и только	3	2
176	только в	4	2
177	но ведь	5	2
178	героя и	5	2
179	так сказать	6	2
180	это все	3	2
181	их в	4	2
182	отличие от	4	2
183	произведениях достоевского	4	2
184	же не	4	2
