N	2gram	Bakhtin_Fr_2	TeoriaLi
1	в мире	2	24
2	не только	17	18
3	в качестве	2	17
4	и не	15	16
5	а в	4	14
6	и в	49	13
7	может быть	5	12
8	так и	6	12
9	то есть	32	12
10	при этом	5	11
11	в этом	15	11
12	в том	3	11
13	но не	5	10
14	и его	17	10
15	в его	18	9
16	то же	7	9
17	что в	2	8
18	такого рода	2	8
19	но и	13	8
20	в себе	4	7
21	том что	4	7
22	точки зрения	6	7
23	в то	6	7
24	только в	13	7
25	место в	3	6
26	с его	5	6
27	же время	6	6
28	еще не	2	6
29	лишь в	4	6
30	как бы	11	6
31	но в	4	6
32	в своем	5	5
33	в ее	3	5
34	как и	11	5
35	в пределах	2	5
36	в самом	3	5
37	в нем	9	5
38	с другой	4	5
39	можно сказать	2	4
40	ни в	3	4
41	в своей	5	4
42	то что	6	4
43	отношение к	8	4
44	по преимуществу	2	4
45	в форме	4	4
46	в их	2	4
47	и т.п	11	4
48	не может	7	4
49	сказать что	6	4
50	хотя и	2	4
51	но он	6	4
52	и др	9	3
53	никогда не	5	3
54	в нашем	2	3
55	в этих	4	3
56	в отношении	2	3
57	в противоположность	2	3
58	прежде всего	19	3
59	и к	4	3
60	для него	9	3
61	и потому	5	3
62	с ее	3	3
63	другой стороны	3	3
64	так в	3	3
65	таким образом	7	3
66	именно в	6	3
67	в другом	2	3
68	и вот	3	3
69	нового времени	4	3
70	в этой	10	3
71	и т.д	2	3
72	все эти	7	3
73	в художественном	2	3
74	в произведении	2	3
75	одну из	2	2
76	о чем	3	2
77	могут быть	2	2
78	за пределы	2	2
79	в конце	2	2
80	жизни в	3	2
81	на фоне	2	2
82	вовсе не	10	2
83	в литературе	6	2
84	что он	3	2
85	что они	2	2
86	перед лицом	2	2
87	одной стороны	3	2
88	одной из	2	2
89	в виду	3	2
90	даже в	3	2
91	к числу	2	2
92	и особенно	3	2
93	к нему	3	2
94	во всех	6	2
95	вместе с	2	2
96	здесь не	2	2
97	как к	2	2
98	в романе	9	2
99	с одной	3	2
100	это и	2	2
101	в себя	6	2
102	в году	13	2
103	и о	4	2
104	с точки	5	2
105	и даже	2	2
106	так же	2	2
107	роль в	5	2
108	их в	3	2
109	автора и	2	2
110	у него	2	2
111	о том	3	2
112	и это	3	2
113	отношения к	4	2
114	в области	4	2
115	мире и	3	2
