N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	41
2	в этом	12	15
3	и все	10	14
4	как и	6	14
5	в этой	5	13
6	все эти	4	13
7	в его	7	12
8	прежде всего	9	11
9	в том	5	11
10	в себе	3	11
11	никто не	3	10
12	так и	2	10
13	все это	6	10
14	и его	4	9
15	не в	11	9
16	но и	13	9
17	в своем	2	9
18	что в	4	9
19	движение в	2	8
20	и от	3	8
21	то что	5	8
22	но в	2	8
23	как бы	3	7
24	в нем	10	7
25	и не	13	7
26	у него	22	6
27	это не	3	6
28	для него	5	6
29	о том	3	6
30	уже в	2	5
31	к этому	2	5
32	не только	11	5
33	и к	2	5
34	что и	2	5
35	всего в	2	5
36	а в	5	5
37	к нему	3	5
38	и для	2	5
39	потому что	9	5
40	на земле	4	4
41	хотя и	2	4
42	но он	7	4
43	момент в	2	4
44	том что	2	4
45	все что	3	4
46	было бы	3	4
47	может быть	11	4
48	он не	7	4
49	должно быть	2	4
50	и на	2	4
51	и с	2	4
52	ничего не	2	4
53	и есть	3	3
54	что у	2	3
55	и потому	2	3
56	он был	8	3
57	в человеческом	2	3
58	совсем не	2	3
59	в своей	2	3
60	что он	3	3
61	не может	4	3
62	не было	9	3
63	не имеет	2	3
64	тем что	2	3
65	его в	2	3
66	так как	2	3
67	учение о	2	2
68	что все	2	2
69	в человеке	9	2
70	с его	4	2
71	никогда не	9	2
72	в этих	3	2
73	человека в	11	2
74	и ее	3	2
75	до конца	7	2
76	отношение к	5	2
77	еще не	3	2
78	того что	3	2
79	не есть	2	2
80	к человеку	9	2
81	и вот	3	2
82	а не	11	2
83	и то	2	2
84	что есть	2	2
85	в глубь	2	2
86	в которой	2	2
87	с ним	3	2
88	это было	3	2
