N	2gram	Ircho_Kome_2	DiskursI
1	в качестве	5	16
2	и в	26	16
3	может быть	11	16
4	как и	4	16
5	в этом	10	16
6	и не	14	15
7	в частности	4	12
8	в отличие	2	12
9	отличие от	2	12
10	в мире	2	11
11	но и	10	11
12	но в	3	11
13	том что	9	10
14	не только	7	10
15	со стороны	2	10
16	так и	12	9
17	не может	3	9
18	в том	11	8
19	как в	3	8
20	не менее	4	7
21	прежде всего	4	7
22	в нем	6	7
23	ни в	5	7
24	но не	3	7
25	с его	5	6
26	отнюдь не	2	6
27	себя в	3	6
28	еще не	6	6
29	все же	4	6
30	в своей	3	6
31	то же	3	6
32	что в	9	5
33	в своем	6	5
34	с другой	2	5
35	нового времени	2	5
36	же время	3	5
37	то что	6	5
38	и на	7	5
39	в то	6	5
40	в одном	2	4
41	к этому	5	4
42	к его	2	4
43	одной стороны	2	4
44	как бы	2	4
45	времени в	2	4
46	отношению к	3	4
47	по отношению	3	4
48	с одной	2	4
49	человека в	3	4
50	в период	3	4
51	роль в	2	4
52	потому что	6	4
53	одно из	2	4
54	точки зрения	4	4
55	в этой	3	4
56	о том	6	4
57	не является	2	4
58	восходит к	4	3
59	в этих	4	3
60	в них	4	3
61	столь же	9	3
62	это не	2	3
63	из этих	4	3
64	и все	2	3
65	не в	2	3
66	здесь в	3	3
67	например в	3	3
68	он не	2	3
69	в его	4	3
70	еще в	4	3
71	в котором	3	3
72	из них	7	3
73	жизни и	3	3
74	и ее	2	3
75	не было	3	3
76	и его	12	3
77	следует признать	2	3
78	как будто	4	3
79	только в	4	3
80	не следует	2	3
81	его в	4	3
82	мира в	4	3
83	место в	4	2
84	что ни	2	2
85	в целом	4	2
86	идет о	2	2
87	что на	3	2
88	интерес к	3	2
89	в той	2	2
90	что он	5	2
91	не столь	2	2
92	является не	2	2
93	перед лицом	2	2
94	того же	3	2
95	первую очередь	3	2
96	отношение к	2	2
97	с их	4	2
98	о чем	3	2
99	обоих случаях	2	2
100	в первую	3	2
101	в ней	3	2
102	что и	7	2
103	с той	2	2
104	вместе с	9	2
105	к их	3	2
106	случая и	2	2
107	все это	3	2
108	не более	2	2
109	в обоих	3	2
110	более чем	4	2
111	в принципе	2	2
112	и для	4	2
113	а в	3	2
114	той же	3	2
115	тут же	2	2
116	и с	5	2
117	говорить о	2	2
118	и это	2	2
119	мы имеем	2	2
120	между тем	4	2
