N	2gram	Tiupa_Anal_1	Mirosoze
1	и в	18	46
2	в нем	3	22
3	может быть	29	21
4	в этом	13	20
5	никогда не	2	18
6	для него	2	18
7	и не	21	18
8	не только	15	18
9	но и	17	15
10	не может	22	15
11	ведет к	3	13
12	как и	13	13
13	не есть	8	13
14	а не	17	13
15	прежде всего	6	12
16	потому что	2	12
17	но в	8	10
18	он не	3	10
19	в себе	11	10
20	не в	14	9
21	и есть	3	8
22	человека к	4	8
23	как бы	5	8
24	так как	2	8
25	отношение к	2	8
26	в мире	8	7
27	в этой	5	7
28	в нашем	3	7
29	что он	3	7
30	и к	3	7
31	и потому	2	7
32	хотя бы	3	7
33	вопрос о	2	6
34	того что	4	6
35	не могу	2	6
36	то же	9	5
37	в самом	6	5
38	один из	2	5
39	это не	6	5
40	и все	3	5
41	есть не	8	5
42	к тому	7	5
43	то что	6	5
44	в своей	6	5
45	для того	4	5
46	и его	5	5
47	в его	13	5
48	что в	5	4
49	для этого	2	4
50	также и	2	4
51	с его	3	4
52	думать что	2	4
53	том что	12	4
54	означает что	3	4
55	должен быть	6	4
56	что и	3	4
57	себя в	6	4
58	так и	4	4
59	уже не	4	4
60	того чтобы	3	4
61	вопроса о	3	4
62	человек в	3	3
63	себя и	4	3
64	на все	2	3
65	ни в	4	3
66	в том	27	3
67	и самого	2	3
68	для чего	2	3
69	и на	5	3
70	и с	2	3
71	что иное	5	3
72	по своей	6	3
73	о том	5	3
74	как он	3	3
75	нет ничего	2	3
76	с ним	4	3
77	иное как	5	3
78	если бы	3	3
79	не что	4	3
80	не будет	3	3
81	и тогда	2	3
82	той же	2	3
83	с другим	4	3
84	только в	6	3
85	место в	3	2
86	быть может	2	2
87	не всегда	4	2
88	это означает	3	2
89	или иной	6	2
90	я и	6	2
91	на его	2	2
92	такого рода	5	2
93	она есть	2	2
94	к нему	3	2
95	не к	2	2
96	по отношению	6	2
97	как к	2	2
98	отношения к	2	2
99	лишь в	5	2
100	должно быть	2	2
101	а в	9	2
102	в основе	6	2
103	не о	2	2
104	точки зрения	6	2
105	не случайно	3	2
106	между тем	5	2
107	на этом	2	2
108	и та	2	2
109	то он	2	2
110	себе в	2	2
111	тогда когда	2	2
112	личности в	3	2
113	по себе	4	2
114	то в	2	2
115	мысль о	2	2
116	в сущности	6	2
117	личности к	2	2
118	еще в	2	2
119	отношению к	5	2
120	вместе с	4	2
121	что же	2	2
122	бы не	2	2
123	другого в	3	2
124	более чем	4	2
125	что не	3	2
126	тому как	3	2
127	подобно тому	3	2
128	как будто	3	2
129	которые в	2	2
130	в которой	2	2
