N	2gram	Medvedev_U_1	KulturaY
1	и в	14	23
2	в том	2	22
3	не только	10	17
4	было бы	3	16
5	в этом	7	16
6	в области	3	14
7	может быть	6	14
8	самом деле	2	14
9	в самом	2	13
10	том что	2	11
11	а не	10	11
12	в его	2	11
13	у нас	3	10
14	и не	8	10
15	прежде всего	8	9
16	хотя бы	5	9
17	таким образом	2	9
18	если бы	2	8
19	до сих	2	8
20	сих пор	2	8
21	с другой	4	7
22	для этого	3	6
23	по себе	2	6
24	что и	2	6
25	что он	2	6
26	в их	4	6
27	не может	7	6
28	то же	5	6
29	могут быть	2	6
30	только в	2	6
31	ничего не	2	6
32	не могут	2	5
33	как и	3	5
34	не в	2	5
35	что она	2	5
36	все же	3	5
37	но это	2	5
38	тем что	2	5
39	не случайно	2	4
40	в своей	3	4
41	то что	7	4
42	как раз	2	4
43	что такое	4	4
44	не столько	2	4
45	между тем	2	4
46	это уже	2	3
47	вопроса о	2	3
48	это не	3	3
49	формы и	2	3
50	должна быть	2	3
51	по существу	2	3
52	но не	2	3
53	очевидно что	3	3
54	не есть	2	3
55	но и	4	3
56	другой стороны	3	3
57	мы не	2	3
58	и с	2	3
59	бы и	2	3
60	нас в	2	3
61	в то	3	3
62	и только	5	3
63	все это	5	2
64	о чем	2	2
65	в частности	3	2
66	смысле этого	2	2
67	все они	2	2
68	не как	3	2
69	что все	2	2
70	материал для	2	2
71	как таковой	2	2
72	конечно не	4	2
73	не о	3	2
74	не все	2	2
75	в некоторых	2	2
76	и через	2	2
77	более чем	2	2
78	что мы	2	2
79	в россии	4	2
80	но в	3	2
81	приемов и	2	2
