N	2gram	Nazirov_Vr_1	Komedia
1	и в	8	22
2	т е	3	13
3	том что	3	12
4	в том	3	11
5	но и	7	11
6	не только	9	10
7	из них	2	10
8	в то	5	10
9	как и	6	9
10	может быть	4	9
11	таким образом	2	8
12	и не	5	8
13	и его	3	8
14	о том	4	8
15	в этой	2	7
16	что в	7	6
17	в конце	3	6
18	что он	4	6
19	то же	5	6
20	а в	2	6
21	уже в	4	5
22	во время	2	5
23	при этом	4	5
24	в его	3	5
25	в истории	4	5
26	все это	4	5
27	и даже	6	5
28	между тем	5	5
29	к этому	3	4
30	несмотря на	4	4
31	в в	2	4
32	же в	2	4
33	же время	5	4
34	а также	2	4
35	в котором	6	4
36	в нем	6	4
37	так в	2	4
38	тем что	3	4
39	точки зрения	2	4
40	но в	6	4
41	место в	2	3
42	после смерти	2	3
43	же как	2	3
44	не менее	2	3
45	в них	2	3
46	на то	3	3
47	и как	3	3
48	х годов	4	3
49	в начале	6	3
50	и у	3	3
51	и о	3	3
52	у него	5	3
53	он не	3	3
54	речь идет	3	3
55	все же	6	3
56	в честь	2	3
57	отношение к	2	3
58	так же	4	3
59	в году	18	3
60	там же	2	3
61	не мог	2	3
62	как раз	2	3
63	в этом	8	3
64	и с	6	3
65	и ее	2	3
66	и все	7	3
67	его в	3	3
68	в чем	3	3
69	в известном	2	2
70	столь же	2	2
71	и во	3	2
72	в свою	2	2
73	мы знаем	2	2
74	он был	3	2
75	раз в	3	2
76	одна из	2	2
77	время и	2	2
78	еще не	2	2
79	в эти	2	2
80	могли быть	2	2
81	то что	7	2
82	наряду с	3	2
83	вместе с	2	2
84	что к	2	2
85	не может	2	2
86	эти годы	2	2
87	что у	3	2
88	в период	2	2
89	но это	2	2
90	но он	3	2
91	в своих	4	2
92	в себе	2	2
