N	2gram	Medvedev_F_3	RusskieA
1	и в	27	29
2	т е	32	24
3	что в	8	22
4	том что	4	22
5	в том	7	22
6	как бы	8	18
7	может быть	25	13
8	так как	9	13
9	п в	2	12
10	как и	14	11
11	одна из	2	11
12	в этом	18	11
13	все это	7	10
14	и с	3	10
15	не только	9	10
16	а на	2	9
17	о том	4	9
18	или на	2	8
19	но и	10	8
20	ее в	3	8
21	его в	7	8
22	мы видели	4	7
23	данном случае	4	7
24	как в	4	7
25	с тем	7	6
26	мы не	4	6
27	еще не	6	6
28	для того	4	6
29	для нас	3	6
30	вместе с	6	6
31	таким образом	18	6
32	при этом	8	6
33	того чтобы	5	6
34	и на	3	6
35	в данном	6	6
36	на земле	2	5
37	потому что	7	5
38	это не	3	5
39	к этому	2	5
40	то что	8	5
41	и что	3	5
42	но не	5	5
43	для этого	2	5
44	и т	11	5
45	не может	24	5
46	т д	6	5
47	но в	6	5
48	видели что	2	4
49	в них	3	4
50	и все	8	4
51	тогда когда	4	4
52	уже не	3	4
53	не в	12	4
54	из них	2	4
55	же как	3	4
56	так же	9	4
57	то же	15	4
58	у нас	3	4
59	а не	17	4
60	в таком	2	4
61	в которых	3	4
62	их в	3	4
63	как это	4	4
64	на этом	2	3
65	тем что	5	3
66	в этих	3	3
67	и от	11	3
68	главным образом	2	3
69	в ее	4	3
70	связаны с	2	3
71	она не	4	3
72	до конца	4	3
73	того что	3	3
74	было бы	6	3
75	что она	2	3
76	но если	2	3
77	в котором	2	3
78	во всех	3	3
79	в отличие	2	3
80	все эти	6	3
81	друг друга	5	3
82	как мы	8	3
83	тому как	5	3
84	между тем	7	3
85	подобно тому	4	3
86	в этой	2	3
87	что это	3	3
88	отличие от	2	3
89	в эту	2	3
90	не менее	7	2
91	связь между	4	2
92	связи с	5	2
93	могут быть	4	2
94	никогда не	5	2
95	между собой	4	2
96	из нее	2	2
97	жизни в	3	2
98	с другой	6	2
99	из этих	2	2
100	ее и	2	2
101	прежде всего	4	2
102	нет никаких	2	2
103	что и	2	2
104	в целях	2	2
105	это и	2	2
106	и как	4	2
107	одним из	3	2
108	у них	2	2
109	самом же	2	2
110	совсем не	5	2
111	очевидно что	2	2
112	же а	2	2
113	связано с	2	2
114	для них	7	2
115	и пр	15	2
116	же деле	2	2
117	совершенно не	7	2
118	тем не	2	2
119	из этого	4	2
120	в него	3	2
121	в виду	3	2
122	еще в	3	2
123	должен быть	2	2
124	все же	6	2
125	в своей	6	2
126	дело не	2	2
127	а и	3	2
128	на самом	14	2
129	там где	7	2
130	эта связь	2	2
131	и для	6	2
132	а к	2	2
133	принадлежат к	2	2
134	жизнь и	3	2
135	так в	2	2
136	быть только	2	2
137	в своих	6	2
138	а иногда	2	2
139	и ее	6	2
140	в то	7	2
141	так чтобы	2	2
142	не можем	2	2
