N	2gram	Propp_Isto_6	Freidism
1	таким образом	12	24
2	и не	10	23
3	не может	6	20
4	прежде всего	4	18
5	в этом	12	15
6	в его	5	15
7	мы можем	7	13
8	может быть	11	13
9	и его	7	12
10	как и	5	11
11	как бы	4	11
12	то что	6	11
13	все эти	8	11
14	так и	5	10
15	как мы	4	10
16	его в	5	10
17	с ним	8	10
18	но в	7	10
19	с его	4	9
20	и в	26	9
21	по отношению	2	9
22	все что	4	8
23	что он	9	8
24	отношению к	2	8
25	еще не	9	8
26	в своей	3	8
27	он не	2	8
28	не только	10	8
29	то же	5	8
30	только в	5	8
31	так как	18	8
32	мы знаем	2	7
33	ни в	2	7
34	во всяком	2	7
35	один из	3	7
36	мы видели	11	7
37	что же	2	7
38	и наконец	3	7
39	сказать что	3	7
40	мы уже	6	7
41	всяком случае	2	7
42	никогда не	13	6
43	вовсе не	2	6
44	и ее	3	6
45	того что	2	6
46	в ней	5	6
47	и с	6	6
48	знаем что	2	5
49	связь с	11	5
50	но мы	2	5
51	можно сказать	2	5
52	не в	3	5
53	в этой	2	5
54	в то	5	5
55	что в	12	5
56	но и	9	5
57	а в	3	5
58	и на	12	5
59	могут быть	3	5
60	с этим	2	5
61	мы должны	2	5
62	но не	2	4
63	и др	2	4
64	в этих	2	4
65	из этих	4	4
66	к тому	2	4
67	сводится к	2	4
68	в последнем	2	4
69	при этом	3	4
70	другими словами	3	4
71	от того	3	4
72	в нем	8	4
73	все же	8	4
74	данном случае	3	4
75	не было	3	4
76	мы находим	2	4
77	уже не	7	4
78	мы не	6	4
79	с ними	2	4
80	в данном	3	4
81	потому что	13	4
82	в более	6	4
83	зависимости от	2	4
84	главным образом	3	3
85	если бы	3	3
86	в них	3	3
87	и от	3	3
88	к себе	2	3
89	на место	3	3
90	ступенях развития	2	3
91	в себе	3	3
92	он был	2	3
93	и как	2	3
94	представления и	2	3
95	но это	4	3
96	она не	3	3
97	было бы	2	3
98	ее в	6	3
99	только то	2	3
100	жизни и	2	3
101	когда он	3	3
102	на него	2	3
103	вместе с	8	3
104	со стороны	3	3
105	и те	2	3
106	как в	6	3
107	и вот	3	3
108	и что	5	3
109	и по	4	3
110	мы имеем	14	3
111	уже знаем	2	3
112	такой же	3	3
113	у него	7	3
114	и этим	5	3
115	одна из	2	3
116	есть и	4	2
117	борьбы с	3	2
118	или иное	3	2
119	зависит от	4	2
120	человека в	2	2
121	видели что	3	2
122	но все	2	2
123	и другие	3	2
124	что это	2	2
125	что между	4	2
126	чаще всего	5	2
127	того же	2	2
128	по всему	2	2
129	с другой	10	2
130	миф и	2	2
131	это не	4	2
132	к этому	3	2
133	для нас	2	2
134	том что	10	2
135	самого себя	2	2
136	на этой	2	2
137	а не	2	2
138	связано с	4	2
139	одной стороны	7	2
140	на другую	2	2
141	во сне	3	2
142	что мы	2	2
143	но для	2	2
144	относится к	2	2
145	в него	3	2
146	в своем	2	2
147	и до	2	2
148	сих пор	4	2
149	что она	3	2
150	силу и	2	2
151	приходит в	2	2
152	в мифах	4	2
153	отличается от	2	2
154	а с	2	2
155	с одной	7	2
156	что оно	4	2
157	и они	2	2
158	должны быть	2	2
159	дает нам	2	2
160	так же	2	2
161	как на	3	2
162	мы видим	5	2
163	и то	3	2
164	их в	3	2
165	то или	2	2
166	от этого	3	2
167	они не	3	2
168	в своих	3	2
169	что и	4	2
170	но как	4	2
171	при помощи	3	2
172	до сих	4	2
173	когда мы	2	2
174	как это	5	2
175	оно может	2	2
176	в эту	2	2
