N	2gram	Bakhtin_Fr_4	VerxiiNi
1	и в	29	26
2	таким образом	20	22
3	в этом	11	15
4	точки зрения	4	13
5	как бы	8	12
6	в том	7	11
7	может быть	2	10
8	не только	10	10
9	и с	9	10
10	связи с	2	9
11	но и	9	9
12	так как	7	9
13	с другой	4	8
14	но не	2	8
15	и не	16	8
16	и у	2	8
17	как на	2	8
18	связанные с	4	7
19	том что	3	7
20	одной стороны	2	7
21	из них	6	7
22	к нему	3	7
23	то что	4	7
24	в эпоху	15	7
25	с одной	2	7
26	но в	12	7
27	в конце	9	6
28	к тому	2	6
29	того же	5	6
30	все же	3	6
31	так и	11	6
32	все это	4	6
33	все эти	9	6
34	с точки	2	6
35	в себе	3	6
36	о том	2	6
37	том числе	3	5
38	образом в	3	5
39	и к	2	5
40	одной из	2	5
41	в его	8	5
42	никогда не	2	5
43	или менее	3	5
44	так же	7	5
45	того чтобы	3	5
46	для того	3	5
47	и для	2	5
48	более или	3	5
49	в этих	2	4
50	что он	4	4
51	в нем	5	4
52	числе и	2	4
53	в котором	2	4
54	не может	2	4
55	то же	10	4
56	и по	5	4
57	во время	10	4
58	он не	3	4
59	в то	10	4
60	только в	2	4
61	то есть	21	4
62	в этой	13	4
63	далеко не	5	4
64	и другие	2	3
65	что это	5	3
66	к этому	2	3
67	с самого	3	3
68	и как	3	3
69	и при	2	3
70	в своем	3	3
71	так называемые	2	3
72	в качестве	3	3
73	и о	5	3
74	если в	2	3
75	при этом	3	3
76	уже не	2	3
77	того что	3	3
78	и даже	3	3
79	в которой	4	3
80	у них	3	3
81	в результате	4	3
82	конце концов	4	3
83	в других	2	3
84	уже в	2	2
85	самого начала	3	2
86	с его	4	2
87	именно в	2	2
88	связанных с	2	2
89	связана с	4	2
90	в них	7	2
91	превращается в	3	2
92	только для	4	2
93	в образе	4	2
94	прежде всего	8	2
95	уже давно	2	2
96	а также	2	2
97	и здесь	3	2
98	мы видели	7	2
99	по своему	4	2
100	же время	8	2
101	когда же	2	2
102	тот же	3	2
103	еще не	4	2
104	конечно не	4	2
105	некоторые из	3	2
106	один из	4	2
107	жизни и	4	2
108	характер носят	2	2
109	особенно в	3	2
110	в разных	3	2
111	одновременно и	3	2
112	и на	11	2
113	связан с	4	2
114	сказать что	5	2
115	мы можем	3	2
116	и наконец	2	2
117	по своей	3	2
118	и все	13	2
119	и это	2	2
120	из этого	2	2
121	в эту	3	2
122	к которому	2	2
123	в виду	2	2
124	в новом	2	2
