N	2gram	Medvedev_S_1	Russkaja
1	в том	5	17
2	в этом	5	17
3	и в	3	14
4	то что	2	13
5	таким образом	2	11
6	то же	2	11
7	но и	2	10
8	том что	2	9
9	не только	3	9
10	может быть	2	9
11	все это	7	6
12	было бы	2	5
13	и только	3	5
14	по существу	2	5
15	только в	2	5
16	что в	2	4
17	как бы	2	4
18	не в	3	4
19	в его	3	4
20	в конце	2	3
21	главным образом	2	3
22	еще не	2	3
23	конце концов	2	3
24	она может	2	3
25	должна быть	2	2
26	в частности	2	2
27	для нас	3	2
28	по отношению	2	2
29	и что	2	2
30	в результате	2	2
31	как будто	2	2
