N	2gram	Bakhtin_fo_2	Analitik
1	в этом	22	18
2	в частности	5	16
3	и в	46	16
4	не только	11	16
5	так и	7	15
6	как и	8	14
7	в том	10	12
8	но и	9	12
9	и не	9	12
10	том что	4	12
11	в качестве	3	11
12	могут быть	2	10
13	как бы	10	10
14	при этом	6	10
15	в эпизоде	7	10
16	а не	4	10
17	в пределах	5	9
18	лишь в	2	9
19	и даже	3	9
20	в этой	2	9
21	то есть	10	9
22	в данном	2	8
23	отнюдь не	4	8
24	и т.п	2	8
25	к тому	3	7
26	в себе	4	7
27	то что	7	7
28	особенно в	2	7
29	о том	4	7
30	а также	3	7
31	с другой	2	6
32	в мире	4	6
33	и на	7	6
34	говорить о	2	6
35	может быть	7	6
36	как это	2	6
37	но в	10	6
38	и к	2	5
39	с одной	2	5
40	в своем	5	4
41	в конце	2	4
42	можно сказать	2	4
43	у него	9	4
44	о его	2	4
45	этом случае	2	4
46	уже не	3	4
47	не в	9	4
48	но не	5	4
49	того же	3	4
50	для него	3	4
51	в аспекте	2	4
52	в сущности	2	4
53	имеет место	3	4
54	времени в	7	4
55	во всех	11	4
56	как в	4	4
57	все это	6	4
58	не может	2	4
59	на этом	2	4
60	и его	12	4
61	то же	8	4
62	хотя и	3	4
63	точки зрения	10	4
64	только в	11	4
65	в себя	2	4
66	не был	2	3
67	место в	4	3
68	борьба с	3	3
69	никогда не	6	3
70	прежде всего	14	3
71	как уже	3	3
72	или иной	2	3
73	что на	3	3
74	ему в	3	3
75	не мог	2	3
76	так что	4	3
77	было бы	2	3
78	мы имеем	2	3
79	что и	3	3
80	из них	8	3
81	в их	3	3
82	этом отношении	2	3
83	не знает	2	3
84	именно в	2	3
85	а в	3	3
86	как мы	6	3
87	автора и	2	3
88	тем что	3	3
89	романа в	2	3
90	и все	6	3
91	того что	3	2
92	в одном	7	2
93	что все	2	2
94	к этому	3	2
95	вовсе не	13	2
96	по себе	2	2
97	эту жизнь	2	2
98	он был	2	2
99	и смерть	4	2
100	а затем	3	2
101	по существу	5	2
102	в борьбе	3	2
103	все что	2	2
104	же время	4	2
105	что в	5	2
106	при описании	2	2
107	она не	2	2
108	еще не	6	2
109	о чем	3	2
110	в котором	4	2
111	один из	2	2
112	строго говоря	2	2
113	картины мира	2	2
114	и их	4	2
115	вместе с	9	2
116	всего в	3	2
117	во времени	3	2
118	борьбе с	2	2
119	отношения к	4	2
120	таким образом	3	2
121	здесь в	6	2
122	на котором	2	2
123	еще более	4	2
124	те же	6	2
125	в двух	2	2
126	но эта	2	2
127	и он	4	2
128	и для	9	2
129	с точки	8	2
130	так же	2	2
131	роль в	3	2
132	на основе	3	2
133	и до	2	2
134	и во	6	2
135	он не	5	2
136	на протяжении	3	2
137	в то	5	2
138	в его	8	2
139	в поэзии	2	2
140	жизни но	2	2
141	его в	6	2
142	в этих	3	2
143	с ним	4	2
