N	2gram	Medvedev_S_1	Dialekti
1	может быть	2	17
2	то что	2	16
3	и в	3	15
4	как бы	2	14
5	в том	5	11
6	в этом	5	11
7	том что	2	10
8	было бы	2	9
9	все это	7	9
10	и что	2	9
11	это и	2	9
12	то же	2	9
13	не в	3	8
14	не только	3	8
15	что в	2	7
16	должна быть	2	7
17	и мы	2	7
18	только в	2	7
19	в результате	2	6
20	тем более	2	6
21	как только	2	5
22	как же	3	5
23	таким образом	2	5
24	в смысле	2	5
25	но и	2	4
26	еще не	2	4
27	в его	3	4
28	за пределы	2	3
29	в частности	2	2
30	диалектический материализм	2	2
31	главным образом	2	2
32	и только	3	2
33	как будто	2	2
