N	2gram	Berdyaev_M_2	Problema
1	то что	5	42
2	и в	46	32
3	и не	18	31
4	не есть	13	29
5	в этом	20	19
6	не только	18	17
7	потому что	12	16
8	по себе	2	15
9	а не	13	15
10	в себе	10	15
11	как бы	8	14
12	может быть	21	14
13	у нас	11	14
14	но в	10	14
15	в нем	22	13
16	сказать что	3	13
17	что в	4	12
18	том что	4	12
19	так и	4	12
20	также и	4	11
21	о том	3	11
22	так как	8	11
23	то же	5	10
24	прежде всего	12	10
25	в этой	7	10
26	нет ничего	3	10
27	ничего не	2	10
28	в том	3	9
29	это есть	2	9
30	но и	15	9
31	и что	2	9
32	так же	6	9
33	что же	2	9
34	того чтобы	4	9
35	и это	5	9
36	не может	15	8
37	и на	3	8
38	в своей	5	8
39	для того	5	8
40	но это	8	8
41	никогда не	18	7
42	ни в	3	7
43	смысле слова	3	7
44	такого рода	2	7
45	того что	6	7
46	в них	3	7
47	и все	5	7
48	что он	7	7
49	во всех	2	7
50	сам по	2	7
51	тем что	3	7
52	только в	3	7
53	и есть	8	6
54	в конце	5	6
55	так что	2	6
56	в самом	5	6
57	и если	2	6
58	хотя и	2	6
59	это не	5	6
60	всегда есть	2	6
61	и здесь	6	6
62	его в	3	6
63	не существует	3	6
64	есть не	5	6
65	в его	5	6
66	можно ли	3	5
67	в своем	8	5
68	не знал	3	5
69	или иной	2	5
70	есть в	3	5
71	не имеют	2	5
72	она есть	2	5
73	что она	5	5
74	то в	2	5
75	связи с	2	5
76	все равно	3	5
77	совсем не	5	4
78	тому что	4	4
79	не в	9	4
80	один из	5	4
81	не было	11	4
82	а в	2	4
83	как он	3	4
84	есть по	2	4
85	если бы	3	4
86	как в	7	4
87	и для	7	4
88	что всякий	3	4
89	уже в	2	3
90	что это	6	3
91	что не	2	3
92	в этих	2	3
93	в отношении	5	3
94	что все	5	3
95	что они	3	3
96	в действительности	2	3
97	есть также	2	3
98	но для	2	3
99	хотя бы	7	3
100	но она	2	3
101	для этого	4	3
102	и его	5	3
103	только и	4	3
104	же и	2	3
105	но он	11	3
106	точки зрения	2	3
107	с ним	3	3
108	есть еще	2	3
109	и во	3	3
110	в жизни	4	3
111	как и	13	3
112	есть и	3	3
113	до сих	3	3
114	мы увидим	2	3
115	к тому	5	3
116	он не	10	3
117	оно не	2	3
118	быть и	2	3
119	сих пор	3	3
120	да и	2	3
121	того как	3	3
122	уже не	4	3
123	к нему	2	3
124	можно было	2	3
125	как будто	2	3
126	в чем	3	3
127	он сам	6	2
128	все время	2	2
129	же как	3	2
130	науки и	2	2
131	иное как	3	2
132	есть выражение	2	2
133	нас не	2	2
134	не стоит	3	2
135	момент в	3	2
136	для него	18	2
137	из подполья	2	2
138	на его	2	2
139	не о	2	2
140	для чего	3	2
141	не для	3	2
142	не имеет	4	2
143	должно быть	2	2
144	и с	3	2
145	и должно	3	2
146	я и	2	2
147	между тем	2	2
148	с собой	2	2
149	тот кто	5	2
150	с его	4	2
151	сознания и	2	2
152	но когда	2	2
153	то он	2	2
154	не что	3	2
155	мы видим	2	2
156	ничего подобного	3	2
157	она не	8	2
158	в сущности	2	2
159	по преимуществу	5	2
160	и потому	7	2
161	не будет	3	2
162	вместе с	2	2
163	ее в	2	2
164	идея и	3	2
165	совсем иное	2	2
166	и всегда	3	2
167	тому как	2	2
168	нас в	2	2
169	он в	3	2
170	подобно тому	2	2
171	что иное	3	2
172	вопроса о	4	2
173	которые в	2	2
174	в которой	2	2
175	что нет	3	2
