N	2gram	Tiupa_Vved_1	RusskieA
1	и в	13	29
2	что в	3	22
3	том что	7	22
4	в том	10	22
5	как бы	4	18
6	состоит в	10	15
7	может быть	18	13
8	как и	11	11
9	одна из	4	11
10	в этом	21	11
11	в этот	2	10
12	и с	2	10
13	не только	20	10
14	а на	2	9
15	о том	5	9
16	а в	6	9
17	но и	19	8
18	мы видели	2	7
19	данном случае	6	7
20	как в	4	7
21	представляют собой	3	7
22	мы не	4	6
23	еще не	7	6
24	для нас	2	6
25	таким образом	4	6
26	при этом	26	6
27	и на	3	6
28	в данном	13	6
29	мы имеем	5	6
30	потому что	5	5
31	это не	6	5
32	к этому	2	5
33	то что	6	5
34	но не	5	5
35	не может	7	5
36	будто бы	3	5
37	но в	6	5
38	о чем	2	4
39	в них	2	4
40	и все	4	4
41	не все	2	4
42	уже не	5	4
43	не в	6	4
44	этих случаях	2	4
45	а также	8	4
46	то и	2	4
47	то же	5	4
48	а не	15	4
49	их в	2	4
50	далеко не	4	4
51	тем что	2	3
52	в этих	3	3
53	в качестве	8	3
54	и от	2	3
55	не всегда	2	3
56	до конца	3	3
57	того что	6	3
58	было бы	4	3
59	в котором	8	3
60	не имеет	2	3
61	во всех	2	3
62	в отличие	2	3
63	ставят на	2	3
64	и по	3	3
65	как мы	3	3
66	тому как	2	3
67	подобно тому	2	3
68	отличие от	2	3
69	не менее	4	2
70	если она	2	2
71	начиная с	3	2
72	об этом	4	2
73	могут быть	4	2
74	никогда не	4	2
75	между собой	2	2
76	жизни в	4	2
77	о них	3	2
78	с другой	5	2
79	не столько	4	2
80	них как	2	2
81	из этих	3	2
82	прежде всего	7	2
83	что и	2	2
84	одним из	5	2
85	не имели	2	2
86	связано с	3	2
87	для них	3	2
88	одной стороны	5	2
89	что на	2	2
90	тем не	3	2
91	за пределами	3	2
92	еще в	2	2
93	как оно	2	2
94	один из	3	2
95	не с	3	2
96	все же	6	2
97	в своей	5	2
98	этом и	2	2
99	не к	4	2
100	том чтобы	2	2
101	тогда как	10	2
102	а с	2	2
103	не было	2	2
104	должны были	2	2
105	с одной	5	2
106	на самом	4	2
107	и для	3	2
108	можно было	2	2
109	а к	3	2
110	так в	4	2
111	быть только	2	2
112	в своих	2	2
113	пока еще	4	2
114	это время	2	2
115	в то	4	2
116	представляет собой	15	2
117	в состав	4	2
118	есть в	2	2
119	не можем	2	2
