N	2gram	Vinokur_Ku_1	FransuaR
1	и в	24	40
2	и его	5	17
3	прежде всего	9	16
4	в этом	14	15
5	не только	10	13
6	и не	12	13
7	в его	12	13
8	что в	17	12
9	вовсе не	10	12
10	как и	2	11
11	но и	6	11
12	таким образом	12	10
13	в них	7	9
14	и все	2	9
15	в сущности	3	9
16	может быть	13	9
17	он не	2	9
18	в том	30	8
19	все эти	6	8
20	и с	5	8
21	той же	3	8
22	и на	4	8
23	но в	2	8
24	в своем	3	7
25	в одном	3	7
26	в духе	3	7
27	то же	8	7
28	в виду	5	7
29	в этих	4	6
30	же время	2	6
31	в самом	10	6
32	в своей	2	6
33	в той	5	6
34	связи с	7	6
35	в то	2	6
36	до конца	2	6
37	как раз	8	5
38	в нем	4	5
39	то что	9	5
40	в связи	3	5
41	не было	3	5
42	а не	8	5
43	и для	2	5
44	так сказать	5	5
45	в особенности	3	5
46	xix века	5	4
47	у нас	10	4
48	том что	21	4
49	до сих	4	4
50	было бы	15	4
51	в ней	6	4
52	из них	4	4
53	и потому	4	4
54	даже в	3	4
55	ни в	2	4
56	один из	4	4
57	сих пор	4	4
58	в их	3	4
59	все это	6	4
60	роль в	4	4
61	о том	9	4
62	в данном	4	4
63	того чтобы	17	4
64	и даже	3	4
65	также и	2	4
66	и здесь	3	4
67	в истории	3	4
68	видно что	2	4
69	так как	9	4
70	в области	7	4
71	с его	4	3
72	если бы	9	3
73	в частности	4	3
74	в этой	3	3
75	для этого	3	3
76	еще не	5	3
77	и есть	2	3
78	никак не	2	3
79	как бы	7	3
80	о нем	2	3
81	в таких	4	3
82	что и	4	3
83	и мысли	2	3
84	вместе с	7	3
85	дело не	2	3
86	во все	2	3
87	так и	7	3
88	как в	4	3
89	по отношению	8	3
90	не может	7	3
91	а в	5	3
92	на самом	2	3
93	там где	4	3
94	самом деле	9	3
95	для того	16	3
96	между ними	2	3
97	и как	2	3
98	но все	2	3
99	можно было	6	3
100	в более	2	3
101	между тем	5	3
102	тем что	8	3
103	при этом	6	3
104	же и	2	3
105	одно из	2	3
106	нуждается в	3	3
107	они не	3	3
108	в себе	3	3
109	только в	11	3
110	но ведь	2	3
111	здесь не	3	3
112	не менее	7	2
113	уже в	3	2
114	представление о	3	2
115	до того	2	2
116	еще и	5	2
117	о чем	2	2
118	в состоянии	2	2
119	хотя бы	10	2
120	с другой	7	2
121	это не	7	2
122	из этих	4	2
123	что было	2	2
124	быть в	2	2
125	что он	6	2
126	или иной	3	2
127	можно сказать	3	2
128	все же	12	2
129	смысл в	2	2
130	это и	4	2
131	это есть	2	2
132	но не	5	2
133	переход от	4	2
134	в последнем	2	2
135	мы увидим	3	2
136	конечно не	2	2
137	и если	3	2
138	например в	5	2
139	на его	3	2
140	по преимуществу	2	2
141	свидетельствует о	2	2
142	одним из	2	2
143	том же	2	2
144	в котором	3	2
145	к жизни	2	2
146	слова и	4	2
147	отношению к	9	2
148	в целом	4	2
149	здесь только	2	2
150	в языке	8	2
151	не раз	2	2
152	в разных	2	2
153	этом отношении	5	2
154	именно в	6	2
155	с помощью	7	2
156	лишь в	2	2
157	в системе	3	2
158	должны быть	2	2
159	рядом с	5	2
160	потому что	23	2
161	с этим	4	2
162	даже и	3	2
163	точки зрения	14	2
164	и еще	2	2
165	его к	3	2
166	этого слова	3	2
167	в которой	6	2
168	того же	4	2
169	как о	2	2
