N	2gram	Bakhtin_Pr_2	formyVre
1	и в	43	46
2	в этом	13	22
3	прежде всего	10	14
4	и т	13	14
5	вовсе не	5	13
6	в романе	3	13
7	и его	8	12
8	только в	4	11
9	не только	11	11
10	во всех	4	11
11	т п	9	11
12	во время	4	10
13	в том	6	10
14	как бы	22	10
15	точки зрения	13	10
16	то есть	4	10
17	но в	10	10
18	у него	6	9
19	не в	11	9
20	мы уже	3	9
21	но и	14	9
22	и не	29	9
23	и для	3	9
24	как и	14	8
25	в его	10	8
26	то же	8	8
27	с точки	8	8
28	из них	2	8
29	в них	4	7
30	в одном	12	7
31	может быть	23	7
32	то что	7	7
33	так и	3	7
34	и на	10	7
35	так сказать	6	7
36	никогда не	9	6
37	и все	6	6
38	при этом	6	6
39	как мы	10	6
40	здесь в	3	6
41	еще не	9	6
42	его в	3	6
43	все же	3	6
44	все это	5	6
45	человека в	4	6
46	и наконец	6	6
47	так как	4	6
48	и с	5	6
49	в своем	4	5
50	с этим	2	5
51	по существу	3	5
52	в пределах	16	5
53	в то	7	5
54	но не	5	5
55	он не	9	5
56	и др	2	5
57	в нем	12	5
58	что в	4	5
59	все эти	5	5
60	должно быть	4	5
61	уже в	2	4
62	из этих	2	4
63	человека и	2	4
64	в образе	2	4
65	же время	5	4
66	с ним	3	4
67	том что	2	4
68	так что	5	4
69	есть и	3	4
70	с другом	4	4
71	друг с	4	4
72	том же	4	4
73	в котором	6	4
74	его жизни	2	4
75	уже говорили	3	4
76	и их	3	4
77	конечно не	2	4
78	как в	2	4
79	отношения к	2	4
80	еще более	2	4
81	а не	7	4
82	и он	5	4
83	также и	3	4
84	их в	4	4
85	к себе	7	4
86	в себе	5	4
87	о том	5	4
88	и самое	2	4
89	все его	2	4
90	мы будем	3	3
91	себя и	3	3
92	того же	3	3
93	та же	2	3
94	что было	2	3
95	переходим к	3	3
96	к тому	4	3
97	что он	13	3
98	а затем	2	3
99	и как	2	3
100	в большинстве	9	3
101	для него	8	3
102	кроме того	3	3
103	себе самому	4	3
104	тот же	3	3
105	хотя и	5	3
106	что на	2	3
107	что и	3	3
108	слова и	12	3
109	ее в	2	3
110	отношение к	2	3
111	но эти	4	3
112	в форме	2	3
113	целый ряд	2	3
114	т д	4	3
115	не на	4	3
116	таким образом	5	3
117	и они	2	3
118	в их	3	3
119	уже не	3	3
120	здесь мы	2	3
121	того что	2	3
122	и даже	3	3
123	мы наблюдаем	2	3
124	а в	5	3
125	в которых	2	3
126	тем что	3	3
127	в другом	7	3
128	в этих	6	3
129	большинстве случаев	8	3
130	в виду	3	3
131	не был	2	2
132	по своему	2	2
133	и та	2	2
134	друг от	2	2
135	лежит в	2	2
136	с другой	4	2
137	это не	3	2
138	и так	2	2
139	в одной	3	2
140	но здесь	5	2
141	по себе	11	2
142	или иной	3	2
143	одна и	2	2
144	но эта	2	2
145	в отношении	3	2
146	он был	3	2
147	без всякого	2	2
148	в самой	4	2
149	как его	4	2
150	у нас	2	2
151	своей жизни	2	2
152	тон и	5	2
153	между ними	4	2
154	до конца	4	2
155	и пр	2	2
156	она не	3	2
157	в плоскости	2	2
158	было бы	5	2
159	со всеми	3	2
160	и к	3	2
161	от друга	2	2
162	в сущности	9	2
163	и о	2	2
164	словом и	2	2
165	наконец в	3	2
166	сих пор	7	2
167	для чего	2	2
168	быть и	2	2
169	и до	4	2
170	опирается на	2	2
171	не может	18	2
172	здесь не	6	2
173	и только	3	2
174	связи между	3	2
175	в себя	3	2
176	в той	5	2
177	образ человека	2	2
178	лишь в	8	2
179	тем же	2	2
180	и всегда	2	2
181	так же	2	2
182	особенно в	2	2
183	рядом с	5	2
184	почти всегда	2	2
185	каждый из	2	2
186	значение для	2	2
187	друг на	2	2
188	но это	4	2
189	он так	2	2
190	автора и	2	2
191	могут быть	3	2
192	но он	4	2
193	самим собою	5	2
194	на друга	2	2
195	ту же	2	2
196	не знает	3	2
197	в поэзии	2	2
198	далеко не	4	2
199	в конце	2	2
200	как он	2	2
201	и это	4	2
202	там где	4	2
203	во всяком	2	2
204	в последнем	3	2
205	до сих	7	2
