N	2gram	Bakhtin_Pr_3	Tragedij
1	и в	34	18
2	петра верховенского	2	17
3	в этом	16	9
4	не только	10	8
5	он сам	5	7
6	и не	29	7
7	и на	6	7
8	и с	15	7
9	может быть	19	7
10	как бы	27	7
11	что он	23	6
12	и его	16	6
13	же время	12	6
14	у него	4	6
15	но в	16	6
16	все же	7	5
17	что это	5	5
18	так и	6	5
19	это не	5	5
20	не может	19	5
21	то же	14	5
22	а я	10	5
23	как и	18	5
24	у достоевского	13	5
25	в то	12	5
26	но и	12	4
27	то что	11	4
28	в целом	5	4
29	что в	7	4
30	все это	16	4
31	я не	7	4
32	прежде всего	15	4
33	и все	19	4
34	в нем	19	4
35	и даже	7	4
36	так же	8	4
37	том что	3	4
38	но это	4	4
39	что я	15	4
40	и что	5	4
41	в себе	6	4
42	еще не	4	4
43	записках из	2	3
44	что вы	2	3
45	уже в	3	3
46	один из	2	3
47	достоевского в	3	3
48	с ее	3	3
49	о чем	2	3
50	отнюдь не	2	3
51	в своем	2	3
52	в конце	5	3
53	как в	4	3
54	все эти	4	3
55	ставрогина и	2	3
56	жизнь и	2	3
57	и он	2	3
58	и как	3	3
59	к нему	14	3
60	эпизод с	2	3
61	один в	2	3
62	должно быть	3	3
63	николай всеволодович	2	3
64	в его	22	3
65	что с	3	3
66	для него	13	3
67	при этом	4	3
68	и сам	5	3
69	своего рода	2	3
70	как будто	7	3
71	мог бы	2	3
72	в мире	4	3
73	с ним	8	3
74	еще в	3	2
75	замыслу достоевского	7	2
76	под влиянием	3	2
77	что и	5	2
78	в душе	2	2
79	а что	3	2
80	в силах	2	2
81	раз и	3	2
82	очень важно	2	2
83	в отличие	2	2
84	ставрогина к	2	2
85	романах достоевского	3	2
86	ненависть к	3	2
87	что все	4	2
88	с иваном	3	2
89	а как	2	2
90	вопрос о	2	2
91	если б	2	2
92	для достоевского	4	2
93	уже не	2	2
94	бы и	4	2
95	с его	6	2
96	отношение к	6	2
97	в преступлении	2	2
98	по замыслу	12	2
99	к тому	5	2
100	столь же	2	2
101	я к	2	2
102	я все	6	2
103	ни в	4	2
104	в ее	3	2
105	в том	3	2
106	до конца	3	2
107	друг друга	2	2
108	говорит о	2	2
109	отличие от	2	2
110	но все	5	2
111	так что	5	2
112	не в	9	2
113	и то	3	2
114	в записках	3	2
115	потому что	12	2
116	знает что	3	2
117	с тем	5	2
118	тем что	4	2
119	в виде	4	2
120	его за	3	2
121	в глаза	3	2
122	он и	5	2
123	и ее	2	2
124	на меня	4	2
125	было в	2	2
126	ивана карамазова	3	2
127	о том	2	2
128	его в	4	2
129	и это	4	2
130	нет в	2	2
131	в самом	8	2
132	я ведь	5	2
133	это уже	2	2
134	этими двумя	2	2
135	не мог	5	2
136	ничего не	4	2
137	он не	15	2
138	настасья филипповна	5	2
139	в одном	5	2
140	никогда не	8	2
