N	3gram	Losev_Prob_2	EvropaiC
1	в том что	4	16
2	до сих пор	4	12
3	более или менее	4	7
4	на то что	4	7
5	на самом деле	2	7
6	друг от друга	2	6
7	для того чтобы	2	6
8	в самом деле	2	5
9	не может быть	3	4
10	в этой области	3	4
11	о том что	14	4
12	может быть и	2	4
13	тем не менее	12	4
14	в конце концов	7	4
15	с другой стороны	5	4
16	в этом случае	7	4
17	в том случае	2	4
18	в данном случае	5	3
19	в связи с	5	3
20	в настоящее время	16	3
21	и то что	7	3
22	заключается в том	2	3
23	так или иначе	6	3
24	в то же	4	2
25	друг к другу	2	2
26	с одной стороны	5	2
27	бы то ни	2	2
28	только то что	3	2
29	во всяком случае	10	2
30	ничего общего с	2	2
31	мы все же	3	2
