N	2gram	Medvedev_U_1	KulturaY
1	и в	14	23
2	не только	10	20
3	в том	2	19
4	в этом	7	18
5	и не	8	16
6	было бы	3	15
7	может быть	6	15
8	если бы	2	12
9	у нас	3	12
10	в самом	2	12
11	том что	2	11
12	в области	3	11
13	но в	3	11
14	по себе	2	10
15	а не	10	10
16	то что	7	9
17	самом деле	2	9
18	хотя бы	5	9
19	не может	7	9
20	с другой	4	8
21	прежде всего	8	8
22	не в	2	8
23	все же	3	7
24	но и	4	7
25	другой стороны	3	7
26	и с	2	7
27	это не	3	6
28	по крайней	2	6
29	крайней мере	2	6
30	в этой	4	6
31	но не	2	6
32	вопроса о	2	6
33	то же	5	6
34	между тем	2	6
35	что мы	2	6
36	не могут	2	5
37	должна быть	2	5
38	что все	2	5
39	этом смысле	2	5
40	что он	2	5
41	по существу	2	5
42	в его	2	5
43	все это	5	5
44	таким образом	2	5
45	и то	3	5
46	не следует	3	5
47	только в	2	5
48	бы и	2	4
49	этой области	3	4
50	вряд ли	3	4
51	могут быть	2	4
52	в то	3	4
53	в конце	2	4
54	ничего не	2	4
55	всех этих	2	3
56	для этого	3	3
57	же время	3	3
58	но это	2	3
59	меньшей степени	2	3
60	что и	2	3
61	не все	2	3
62	что она	2	3
63	как раз	2	3
64	этом отношении	2	3
65	сводится к	2	3
66	что такое	4	3
67	вот почему	7	3
68	конце концов	2	3
69	тем что	2	3
70	в частности	3	2
71	смысле этого	2	2
72	но даже	2	2
73	не как	3	2
74	конечном счете	4	2
75	в широком	2	2
76	очевидно что	3	2
77	конечно не	4	2
78	в конечном	4	2
79	превращается в	2	2
80	в своей	3	2
81	все они	2	2
82	в их	4	2
83	пишет он	2	2
84	и для	2	2
85	как и	3	2
86	в буквальном	2	2
87	этого термина	2	2
88	и у	2	2
89	материал для	2	2
90	даже и	2	2
91	могли бы	2	2
92	приемов и	2	2
