N	2gram	Potebnia_M_1	Vladivir
1	и в	39	30
2	то что	10	20
3	в этом	15	20
4	в том	26	18
5	и не	18	18
6	и с	3	14
7	же с	7	13
8	том что	16	12
9	что в	22	12
10	там же	9	12
11	не только	21	12
12	в его	5	11
13	а в	5	11
14	как мы	2	11
15	сказать что	3	11
16	и вообще	3	10
17	и даже	4	10
18	не было	4	10
19	не в	15	9
20	для него	4	9
21	было бы	12	9
22	все же	6	9
23	потому что	52	9
24	не может	22	9
25	в то	4	9
26	связи с	3	8
27	в своем	3	8
28	вместе с	8	8
29	но и	20	8
30	что же	2	8
31	не мог	3	8
32	но в	9	8
33	не менее	6	7
34	никогда не	4	7
35	точки зрения	8	7
36	и все	3	7
37	может быть	27	7
38	между прочим	2	7
39	для нас	9	7
40	а не	21	7
41	то есть	42	7
42	хотя и	3	6
43	прежде всего	4	6
44	тем не	6	6
45	у нас	2	6
46	только в	25	6
47	во всяком	3	6
48	в себе	13	6
49	жизни и	2	6
50	и его	5	6
51	и то	3	5
52	по себе	10	5
53	о его	2	5
54	как и	9	5
55	так что	16	5
56	то в	5	5
57	при этом	6	5
58	того же	3	5
59	в своей	3	5
60	как бы	6	5
61	для себя	3	5
62	так и	13	5
63	с этим	7	5
64	в течение	2	5
65	и что	10	5
66	того что	8	5
67	так как	21	5
68	с ним	3	5
69	из этого	2	5
70	с этой	2	4
71	вовсе не	5	4
72	в этой	3	4
73	в целом	2	4
74	и если	2	4
75	что это	3	4
76	несмотря на	5	4
77	и о	2	4
78	в ней	7	4
79	он не	3	4
80	в нем	20	4
81	то это	5	4
82	не есть	10	4
83	крайней мере	2	4
84	с а	2	4
85	в этих	7	4
86	со стороны	8	4
87	то же	6	4
88	на этот	2	4
89	так же	5	4
90	той же	3	4
91	по поводу	3	4
92	но это	5	4
93	с в	5	4
94	в начале	2	4
95	мы должны	3	4
96	о том	2	4
97	в которой	2	4
98	по крайней	2	4
99	под влиянием	2	3
100	мы будем	2	3
101	в них	3	3
102	хотя бы	2	3
103	из этих	4	3
104	точно так	11	3
105	же время	4	3
106	в свою	4	3
107	что и	6	3
108	и как	6	3
109	сравнительно с	2	3
110	тем более	2	3
111	но не	8	3
112	и для	5	3
113	том же	2	3
114	никак не	2	3
115	еще более	2	3
116	с точки	3	3
117	во всех	5	3
118	как в	10	3
119	таким образом	13	3
120	уже не	2	3
121	должно быть	7	3
122	в таком	5	3
123	даже и	2	3
124	к ней	2	3
125	но он	2	3
126	что можно	3	3
127	его на	2	3
128	и это	3	3
129	дело в	2	3
130	нет ничего	2	3
131	когда мы	2	3
132	не могли	2	3
133	нисколько не	2	2
134	с тем	5	2
135	и есть	2	2
136	однако в	4	2
137	себе представить	7	2
138	языке в	2	2
139	это не	7	2
140	и от	3	2
141	если не	2	2
142	бытия и	3	2
143	тогда когда	9	2
144	на все	2	2
145	история и	2	2
146	мы видели	4	2
147	к тому	4	2
148	же в	2	2
149	есть для	2	2
150	друг друга	5	2
151	только тогда	5	2
152	свою очередь	4	2
153	но тем	3	2
154	и может	2	2
155	само по	4	2
156	она не	3	2
157	не могла	2	2
158	в самом	3	2
159	в сущности	2	2
160	на то	2	2
161	и потому	5	2
162	для того	3	2
163	в виду	2	2
164	не имеет	5	2
165	но уже	2	2
166	в их	2	2
167	есть нечто	4	2
168	но дело	2	2
169	того как	6	2
170	и притом	4	2
171	от нас	2	2
172	но все	2	2
173	в теории	2	2
174	заключается в	3	2
175	того чтобы	2	2
176	что не	10	2
177	и по	6	2
178	в сравнении	3	2
179	что для	3	2
180	во многих	2	2
181	в своих	4	2
182	мысли и	9	2
183	и при	3	2
184	в более	4	2
185	на свои	2	2
186	и во	3	2
187	с и	3	2
188	народа и	2	2
189	нельзя себе	2	2
190	как будто	2	2
191	что если	3	2
192	к этой	3	2
193	мы не	10	2
