N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	34	45
2	и не	29	15
3	не только	10	14
4	в этом	16	14
5	но в	16	14
6	в его	22	13
7	во всех	2	13
8	и его	16	13
9	как бы	27	12
10	во время	2	12
11	что в	7	12
12	в своем	2	11
13	то же	14	11
14	в то	12	11
15	прежде всего	15	10
16	в том	3	10
17	в нем	19	10
18	но и	12	10
19	как и	18	10
20	и с	15	10
21	же время	12	9
22	вовсе не	11	8
23	как мы	7	8
24	с миром	3	8
25	в ней	3	8
26	жизни и	3	8
27	таким образом	5	8
28	так же	8	8
29	с его	6	7
30	в конце	5	7
31	том что	3	7
32	не в	9	7
33	что и	5	7
34	мы видели	3	7
35	все это	16	7
36	потому что	12	7
37	и все	19	7
38	всех этих	2	6
39	что он	23	6
40	он не	15	6
41	так и	6	6
42	так как	4	6
43	в них	2	6
44	здесь и	2	5
45	с ним	8	5
46	и к	12	5
47	человека с	3	5
48	это и	2	5
49	но это	4	5
50	на этом	4	5
51	со всеми	2	5
52	например в	2	5
53	хотя и	3	5
54	с ее	3	5
55	как раз	4	5
56	не может	19	5
57	все эти	4	5
58	на самом	11	5
59	самом деле	13	5
60	и у	5	5
61	и как	3	5
62	и на	6	5
63	его в	4	5
64	и во	3	4
65	и от	5	4
66	очень часто	2	4
67	у него	4	4
68	тому же	2	4
69	такой же	3	4
70	но не	4	4
71	по своему	3	4
72	ничего не	4	4
73	своего рода	2	4
74	в самом	8	4
75	в сущности	11	4
76	в общем	4	4
77	мы уже	6	4
78	не мог	5	4
79	а не	9	4
80	и даже	7	4
81	как на	2	4
82	а в	5	4
83	той же	2	4
84	тенденция к	2	4
85	сказать что	2	4
86	с этим	2	4
87	точки зрения	8	4
88	только в	6	4
89	о том	2	4
90	и это	4	4
91	бы в	3	4
92	это было	3	4
93	не менее	3	3
94	нисколько не	2	3
95	как в	4	3
96	вообще не	2	3
97	это не	5	3
98	в одной	3	3
99	в одном	5	3
100	словом и	3	3
101	ни в	4	3
102	но на	4	3
103	того же	2	3
104	для него	13	3
105	в своей	3	3
106	дело идет	5	3
107	в заключение	2	3
108	вместе с	4	3
109	и прежде	4	3
110	не было	2	3
111	всего этого	2	3
112	и вот	5	3
113	того что	5	3
114	и он	2	3
115	и для	8	3
116	в которых	2	3
117	нуждается в	3	3
118	но он	3	3
119	он и	5	3
120	ведь и	3	3
121	в другом	8	3
122	но этот	2	3
123	как он	3	3
124	там где	7	3
125	почти все	2	3
126	о чем	2	3
127	он знает	2	2
128	он хочет	4	2
129	с тем	5	2
130	в сторону	2	2
131	очень важно	2	2
132	себя и	8	2
133	и без	2	2
134	говорить о	3	2
135	хотя бы	5	2
136	он должен	2	2
137	переходит в	2	2
138	что все	4	2
139	это в	2	2
140	к тому	5	2
141	в отношении	9	2
142	раз в	2	2
143	отличие от	2	2
144	конечно в	2	2
145	в начале	4	2
146	то что	11	2
147	в пределах	6	2
148	в большинстве	2	2
149	и слова	2	2
150	со словом	3	2
151	из его	4	2
152	но именно	2	2
153	было бы	2	2
154	что это	5	2
155	и если	2	2
156	друг с	2	2
157	к ней	2	2
158	не хочет	2	2
159	конечно не	2	2
160	может быть	19	2
161	еще в	3	2
162	в этот	2	2
163	в эти	2	2
164	с другом	2	2
165	даже в	5	2
166	нет и	3	2
167	один из	2	2
168	и мысли	2	2
169	в каждом	3	2
170	слова и	10	2
171	все же	7	2
172	уже говорили	3	2
173	благодаря этому	2	2
174	в целом	5	2
175	когда он	2	2
176	на него	7	2
177	так в	2	2
178	в отличие	2	2
179	и только	2	2
180	мысль и	2	2
181	при этом	4	2
182	чем не	2	2
183	лишь в	5	2
184	и слово	8	2
185	и что	5	2
186	и наконец	5	2
187	с точки	4	2
188	к нему	14	2
189	рядом с	4	2
190	жизнь и	2	2
191	между тем	3	2
192	говорили что	3	2
193	эти последние	2	2
194	он в	4	2
195	сущности не	2	2
196	и вообще	2	2
197	уверен что	3	2
198	большинстве случаев	3	2
199	в чем	5	2
200	нет ни	2	2
