N	2gram	Potebnia_M_3	Formalny
1	и в	30	38
2	в этом	10	27
3	может быть	28	23
4	и его	4	21
5	таким образом	14	20
6	и не	15	20
7	в самом	8	16
8	прежде всего	3	15
9	не в	15	15
10	и т	5	14
11	не может	6	14
12	в нем	9	13
13	но и	19	13
14	связи с	2	13
15	языка и	2	12
16	с тем	7	11
17	в том	32	11
18	вовсе не	7	11
19	в его	4	10
20	с другими	5	10
21	и с	2	9
22	как и	10	9
23	при этом	3	9
24	не только	21	9
25	т п	2	9
26	языка в	5	9
27	что и	13	8
28	все же	2	8
29	так и	11	8
30	поэтического произведения	2	8
31	самом деле	2	8
32	тем что	7	8
33	точки зрения	2	8
34	что в	17	7
35	не могут	5	7
36	по себе	16	7
37	для него	9	7
38	слова и	5	7
39	в своей	2	7
40	в других	2	7
41	этом отношении	2	7
42	как мы	7	7
43	в поэтическом	2	7
44	уже не	6	7
45	в первом	3	7
46	художественного произведения	5	6
47	не было	4	6
48	то что	18	6
49	для понимания	4	6
50	в ней	8	6
51	в этой	2	6
52	было бы	9	6
53	вместе с	12	6
54	в их	2	6
55	то же	23	6
56	а не	15	6
57	в языке	7	6
58	могут быть	3	6
59	он не	4	6
60	только в	21	6
61	а в	12	6
62	звуком и	3	5
63	ни о	3	5
64	если бы	12	5
65	звука и	2	5
66	что он	6	5
67	именно в	3	5
68	это и	2	5
69	же время	5	5
70	в слове	32	5
71	что же	2	5
72	с этим	6	5
73	т д	3	5
74	говорить о	3	5
75	в то	10	5
76	бы в	2	5
77	независимо от	5	4
78	как о	2	4
79	оно не	4	4
80	не столько	2	4
81	не как	2	4
82	и теперь	6	4
83	к этому	3	4
84	к тому	7	4
85	мы видели	4	4
86	что они	2	4
87	как бы	3	4
88	из них	6	4
89	как в	10	4
90	другой стороны	4	4
91	входит в	2	4
92	что оно	11	4
93	что не	8	4
94	и наконец	2	4
95	и даже	2	4
96	не следует	5	4
97	одним словом	2	4
98	там где	3	4
99	от нее	2	4
100	так как	13	4
101	место в	3	3
102	была бы	4	3
103	и может	3	3
104	в какой	2	3
105	с другой	7	3
106	произведения не	2	3
107	из этих	9	3
108	а как	2	3
109	и как	5	3
110	но все	2	3
111	как ее	2	3
112	время и	2	3
113	например в	6	3
114	должно было	2	3
115	его с	2	3
116	то это	6	3
117	не есть	17	3
118	в целом	3	3
119	жизни и	2	3
120	и до	2	3
121	только на	3	3
122	все это	4	3
123	так в	2	3
124	то и	6	3
125	и значением	2	3
126	к нему	3	3
127	того что	18	3
128	того чтобы	3	3
129	для того	4	3
130	тем же	4	3
131	мы не	9	3
132	или в	3	3
133	и на	3	3
134	сам по	5	3
135	без нее	2	3
136	слова в	7	3
137	и все	3	3
138	его в	3	3
139	том смысле	3	3
140	что это	4	3
141	так сказать	2	3
142	в области	2	3
143	не то	3	3
144	это было	3	3
145	от этого	2	3
146	значение слова	5	2
147	уже в	5	2
148	самый предмет	2	2
149	имеет значение	6	2
150	тому что	3	2
151	перед нами	2	2
152	столь же	4	2
153	слово как	5	2
154	в понятии	2	2
155	с нею	2	2
156	звук и	3	2
157	языка мы	2	2
158	и звук	2	2
159	тем и	3	2
160	или вовсе	3	2
161	что именно	4	2
162	а только	3	2
163	на котором	2	2
164	в ее	2	2
165	себе а	4	2
166	том что	18	2
167	но это	6	2
168	от него	2	2
169	но не	7	2
170	очевидно что	5	2
171	или же	4	2
172	но как	2	2
173	она не	2	2
174	со своей	2	2
175	и о	2	2
176	слове не	2	2
177	же и	3	2
178	в котором	4	2
179	даже в	2	2
180	один из	4	2
181	и тем	5	2
182	есть только	5	2
183	не будет	3	2
184	не к	4	2
185	отношение к	2	2
186	ни в	2	2
187	а к	3	2
188	со стороны	3	2
189	разница между	3	2
190	художественное произведение	6	2
191	слово и	3	2
192	тем самым	7	2
193	не имеет	6	2
194	и по	4	2
195	должно быть	5	2
196	все остальные	3	2
197	что для	4	2
198	в таком	3	2
199	и то	8	2
200	их в	2	2
201	сказать что	5	2
202	между тем	9	2
203	и от	4	2
204	предмета в	2	2
205	в искусстве	3	2
206	слово есть	9	2
207	произведения искусства	2	2
208	и это	4	2
209	что эта	2	2
210	в чем	3	2
211	потому что	46	2
212	в которой	3	2
213	с ним	6	2
214	та же	2	2
215	слово в	4	2
216	из него	2	2
