N	2gram	Bakhtin_Fr_6	SlovoVZh
1	не может	4	16
2	точки зрения	2	14
3	может быть	2	14
4	и его	13	13
5	как бы	7	13
6	таким образом	17	12
7	и в	41	12
8	и не	3	10
9	так как	10	9
10	прежде всего	10	8
11	для нас	2	7
12	сказать что	6	7
13	в нем	16	6
14	все время	4	6
15	при этом	3	6
16	с помощью	6	6
17	в том	2	6
18	только в	3	6
19	в ней	4	6
20	и др	10	5
21	то что	10	5
22	должна быть	2	5
23	никогда не	8	5
24	а не	2	5
25	то же	5	5
26	как и	7	5
27	том что	7	5
28	как в	4	5
29	что мы	2	5
30	но в	8	5
31	все же	4	4
32	жизни и	3	4
33	так и	5	4
34	с другой	4	4
35	что не	3	4
36	в литературе	5	4
37	литературы и	2	4
38	не в	4	4
39	в этом	12	4
40	и на	9	4
41	в самом	10	4
42	к нему	3	4
43	за пределы	2	4
44	не только	10	4
45	в котором	4	3
46	в них	7	3
47	в своей	2	3
48	сих пор	3	3
49	все это	11	3
50	и вообще	4	3
51	все эти	11	3
52	но и	13	3
53	того что	3	3
54	и наконец	4	3
55	так же	5	3
56	самом деле	4	3
57	мы не	2	3
58	ведь и	2	3
59	и с	16	3
60	о том	9	3
61	в себе	5	3
62	до сих	3	3
63	и для	3	3
64	конечно не	3	3
65	из этого	4	3
66	с ним	4	3
67	между тем	2	3
68	уже в	4	2
69	с этой	3	2
70	с его	5	2
71	от всех	2	2
72	что в	7	2
73	на все	3	2
74	данном случае	2	2
75	вместе с	6	2
76	в этих	2	2
77	не остается	3	2
78	все они	2	2
79	в форме	2	2
80	в своем	5	2
81	но конечно	2	2
82	другой стороны	2	2
83	и все	9	2
84	и другие	2	2
85	в особенности	7	2
86	тогда когда	2	2
87	с одной	4	2
88	те же	3	2
89	конечно в	2	2
90	и что	5	2
91	с точки	2	2
92	стороны и	2	2
93	и те	2	2
94	с другими	3	2
95	но это	3	2
96	более того	4	2
97	в данном	3	2
98	в корне	2	2
99	и то	2	2
100	но не	2	2
101	кроме того	9	2
102	до конца	2	2
103	в то	6	2
104	одной стороны	4	2
105	подчеркнуть что	5	2
106	там где	5	2
107	в чем	3	2
108	как это	2	2
109	он не	2	2
110	в его	7	2
111	и потому	2	2
112	между ними	3	2
