N	2gram	Berdyaev_M_2	VerxiiNi
1	и в	46	26
2	вместе с	2	15
3	в этом	20	15
4	точки зрения	2	13
5	как бы	8	12
6	в том	3	11
7	может быть	21	10
8	не только	18	10
9	и с	3	10
10	связи с	2	9
11	что в	4	9
12	но и	15	9
13	так как	8	9
14	и не	18	8
15	том что	4	7
16	к нему	2	7
17	то что	5	7
18	потому что	12	7
19	но в	10	7
20	в конце	5	6
21	к тому	5	6
22	и потому	7	6
23	что и	4	6
24	так и	4	6
25	в отношении	5	6
26	в себе	10	6
27	о том	3	6
28	и к	7	5
29	отношение к	8	5
30	до сих	3	5
31	в его	5	5
32	никогда не	18	5
33	сих пор	3	5
34	так же	6	5
35	лишь в	2	5
36	а не	13	5
37	того чтобы	4	5
38	для того	5	5
39	не имеет	4	5
40	и для	7	5
41	в мире	7	5
42	в этих	2	4
43	и от	3	4
44	что все	5	4
45	что он	7	4
46	в нем	22	4
47	в самом	5	4
48	не может	15	4
49	а в	2	4
50	то же	5	4
51	и что	2	4
52	и тогда	3	4
53	бога и	5	4
54	он не	10	4
55	только в	3	4
56	в этой	7	4
57	же как	3	3
58	что это	6	3
59	если бы	3	3
60	хотя бы	7	3
61	для него	18	3
62	так что	2	3
63	в своем	8	3
64	друг за	2	3
65	и нет	3	3
66	и если	2	3
67	отношению к	2	3
68	к богу	2	3
69	за друга	2	3
70	но с	2	3
71	уже не	4	3
72	того что	6	3
73	в которой	2	3
74	и те	2	3
75	у них	4	3
76	русский народ	5	3
77	уже в	2	2
78	с его	4	2
79	он в	3	2
80	связана с	7	2
81	в них	3	2
82	превращается в	2	2
83	но когда	2	2
84	и мир	2	2
85	тогда когда	2	2
86	в образе	3	2
87	на все	3	2
88	прежде всего	12	2
89	не всегда	2	2
90	в свою	4	2
91	или иной	2	2
92	и здесь	6	2
93	все что	4	2
94	связано с	3	2
95	тот же	2	2
96	и перед	3	2
97	мысль о	2	2
98	один из	5	2
99	не к	2	2
100	жизни и	6	2
101	во всех	2	2
102	к другу	5	2
103	быть и	2	2
104	и люди	2	2
105	для этого	4	2
106	в разных	2	2
107	добра и	5	2
108	не было	11	2
109	человек должен	2	2
110	у всех	2	2
111	те же	5	2
112	его не	2	2
113	из этой	2	2
114	и на	3	2
115	людей и	3	2
116	в русском	4	2
117	сказать что	3	2
118	не в	9	2
119	когда человек	2	2
120	по своей	3	2
121	богу и	2	2
122	и все	5	2
123	и это	5	2
124	которые в	2	2
125	в россии	3	2
126	к которому	3	2
127	между тем	2	2
