N	2gram	Tiupa_Hudo_1	Freidism
1	таким образом	3	24
2	и не	15	23
3	не может	7	20
4	точки зрения	10	19
5	прежде всего	4	18
6	в этом	11	15
7	в его	9	15
8	в душе	8	13
9	может быть	14	13
10	и его	12	12
11	как и	2	11
12	как бы	9	11
13	то что	4	11
14	все эти	2	11
15	с точки	3	11
16	и потому	2	10
17	так и	11	10
18	его в	2	10
19	с ним	2	10
20	но в	7	10
21	с его	6	9
22	и в	19	9
23	во всех	3	9
24	по отношению	9	9
25	что он	3	8
26	отношению к	9	8
27	еще не	3	8
28	в своей	5	8
29	он не	4	8
30	не только	16	8
31	все это	2	8
32	то же	10	8
33	только в	5	8
34	ни в	5	7
35	к нему	3	7
36	один из	2	7
37	отношение к	5	7
38	в самом	5	7
39	сказать что	4	7
40	никогда не	2	6
41	вовсе не	2	6
42	и ее	3	6
43	для него	4	6
44	за пределы	2	6
45	того что	4	6
46	и к	3	5
47	в свою	3	5
48	можно сказать	5	5
49	не в	7	5
50	в этой	2	5
51	в чем	2	5
52	в то	6	5
53	что в	6	5
54	но и	10	5
55	в себя	2	5
56	для того	2	5
57	а в	12	5
58	и на	2	5
59	могут быть	4	5
60	в каком	2	5
61	я и	7	5
62	не менее	3	4
63	но не	11	4
64	я не	2	4
65	и др	2	4
66	внешней речи	2	4
67	в этих	3	4
68	из этих	3	4
69	в пределах	3	4
70	в жизни	2	4
71	если мы	2	4
72	с другими	4	4
73	к тому	4	4
74	об этом	2	4
75	сводится к	7	4
76	же время	5	4
77	при этом	13	4
78	и о	3	4
79	как раз	3	4
80	в основе	4	4
81	в нем	5	4
82	между ними	4	4
83	уже не	4	4
84	того чтобы	2	4
85	и для	2	4
86	в которой	2	4
87	с их	2	4
88	в данном	4	4
89	потому что	3	4
90	себя и	2	4
91	говорить о	3	4
92	если бы	3	3
93	конечном счете	5	3
94	внутренней и	2	3
95	тому что	2	3
96	в них	2	3
97	во втором	4	3
98	о себе	2	3
99	в конечном	5	3
100	а только	4	3
101	в себе	9	3
102	и как	3	3
103	человека к	3	3
104	по своему	2	3
105	случае не	2	3
106	в узком	3	3
107	что может	2	3
108	из которого	4	3
109	ее в	2	3
110	с ее	5	3
111	себя в	7	3
112	со стороны	2	3
113	приводит к	5	3
114	не знает	3	3
115	как в	2	3
116	и что	3	3
117	свою очередь	2	3
118	и т.п	4	3
119	и по	2	3
120	между двумя	2	3
121	мы имеем	6	3
122	в искусстве	7	3
123	и внешней	3	3
124	на всех	2	3
125	слова и	2	3
126	человека с	3	3
127	одна из	2	3
128	не является	4	3
129	из тех	2	2
130	этих двух	2	2
131	в отношении	3	2
132	но их	3	2
133	и другие	2	2
134	быть и	2	2
135	в нашем	2	2
136	между собой	2	2
137	всей его	2	2
138	для себя	2	2
139	в какой	2	2
140	того же	2	2
141	с другой	7	2
142	это не	2	2
143	произведение искусства	8	2
144	для понимания	2	2
145	только о	2	2
146	таких случаях	2	2
147	но во	2	2
148	тем не	3	2
149	в ее	5	2
150	том что	8	2
151	во внутренней	2	2
152	в глаза	2	2
153	а не	9	2
154	одной стороны	2	2
155	внешнего мира	3	2
156	в своем	2	2
157	на почве	3	2
158	дело не	2	2
159	что она	2	2
160	в их	5	2
161	жизни то	2	2
162	во всей	3	2
163	отличается от	2	2
164	отношения к	2	2
165	а с	2	2
166	с одной	2	2
167	внутренней речи	14	2
168	сознания в	3	2
169	в отличие	7	2
170	и притом	3	2
171	так же	2	2
172	отличие от	7	2
173	на основе	2	2
174	и то	4	2
175	их в	3	2
176	может оказаться	2	2
177	что и	2	2
178	к его	2	2
179	но как	2	2
180	в другом	3	2
181	речи и	3	2
182	жизни но	2	2
183	как это	5	2
184	в области	6	2
185	в момент	2	2
186	в виду	5	2
