N	2gram	Ircho_Kome_1	Tvorches
1	и в	22	21
2	в то	10	15
3	в его	5	13
4	то же	6	13
5	что в	6	12
6	как и	9	12
7	же время	4	12
8	том что	12	11
9	все это	5	10
10	как в	5	8
11	он не	3	8
12	то что	2	8
13	у него	3	7
14	в свою	2	7
15	в том	11	7
16	при этом	5	7
17	не только	10	7
18	и не	8	7
19	в году	3	7
20	и на	3	7
21	но в	4	7
22	что он	6	6
23	и все	3	6
24	не менее	3	6
25	в котором	4	6
26	а в	6	6
27	и его	8	6
28	в этом	3	6
29	о том	8	6
30	вовсе не	2	5
31	но это	2	5
32	может быть	9	5
33	в этой	7	5
34	все же	3	5
35	таким образом	8	5
36	в своих	2	5
37	потому что	5	5
38	как будто	2	5
39	только в	3	5
40	прежде всего	5	4
41	и как	3	4
42	времени и	2	4
43	в целом	3	4
44	из всех	2	4
45	одной из	3	4
46	один из	5	4
47	не может	2	4
48	в финале	2	4
49	место в	3	3
50	уже в	5	3
51	с другой	5	3
52	с ее	2	3
53	но не	2	3
54	на его	5	3
55	в самом	2	3
56	даже в	3	3
57	в нем	4	3
58	и т	9	3
59	но и	11	3
60	ее в	2	3
61	в их	4	3
62	который в	2	3
63	и других	7	3
64	там же	3	3
65	и даже	5	3
66	и по	6	3
67	так же	3	3
68	в которой	6	3
69	и с	3	3
70	хотя и	3	3
71	в виде	3	3
72	на протяжении	4	3
73	ту же	2	3
74	так как	4	3
75	такой же	2	2
76	в принципе	2	2
77	все более	3	2
78	в частности	3	2
79	однако в	3	2
80	в качестве	4	2
81	в настоящем	2	2
82	раз на	2	2
83	и мир	2	2
84	одного из	6	2
85	к этому	4	2
86	что и	4	2
87	в в	4	2
88	не в	6	2
89	одна из	2	2
90	того же	2	2
91	до конца	2	2
92	тот же	3	2
93	из них	10	2
94	в первой	2	2
95	к тому	6	2
96	из других	2	2
97	к ней	2	2
98	и тем	2	2
99	тем не	2	2
100	еще в	5	2
101	протяжении всего	2	2
102	во второй	3	2
103	времени это	2	2
104	вместе с	2	2
105	так и	5	2
106	вслед за	2	2
107	именно в	4	2
108	в себя	2	2
109	здесь мы	3	2
110	не мог	3	2
111	и у	3	2
112	и притом	2	2
113	только что	2	2
114	отличие от	2	2
115	или в	2	2
116	где он	2	2
117	могут быть	3	2
118	но он	2	2
119	известно что	4	2
120	это время	2	2
121	в себе	2	2
122	т п	5	2
123	в чем	3	2
