N	2gram	Tiupa_Lite_3	Tragedij
1	и в	16	18
2	в романе	3	10
3	в году	5	9
4	в этом	14	9
5	не только	14	8
6	и не	22	7
7	и на	2	7
8	и с	2	7
9	может быть	12	7
10	как бы	8	7
11	что он	5	6
12	и его	6	6
13	же время	7	6
14	но в	3	6
15	все же	2	5
16	к жизни	2	5
17	так и	9	5
18	это не	5	5
19	не может	8	5
20	то же	9	5
21	а я	3	5
22	как и	5	5
23	в то	9	5
24	несмотря на	2	5
25	но и	14	4
26	то что	12	4
27	в целом	5	4
28	что в	2	4
29	я не	2	4
30	прежде всего	3	4
31	в нем	2	4
32	и даже	2	4
33	так же	2	4
34	том что	8	4
35	в этой	8	4
36	что я	5	4
37	в себе	6	4
38	еще не	6	4
39	один из	2	3
40	с ее	3	3
41	о чем	3	3
42	отнюдь не	3	3
43	романа и	2	3
44	в конце	2	3
45	как в	5	3
46	тем самым	7	3
47	и как	3	3
48	один в	2	3
49	должно быть	4	3
50	в его	6	3
51	на страницах	2	3
52	для него	2	3
53	при этом	15	3
54	и сам	2	3
55	своего рода	10	3
56	как будто	4	3
57	в мире	16	3
58	как это	3	3
59	то есть	5	3
60	еще в	3	2
61	что и	2	2
62	в частности	11	2
63	в отличие	5	2
64	данном случае	4	2
65	вопрос о	2	2
66	уже не	3	2
67	бы и	3	2
68	с его	6	2
69	отношение к	2	2
70	к тому	6	2
71	я к	2	2
72	в ее	5	2
73	в том	12	2
74	до конца	4	2
75	отличие от	5	2
76	не в	10	2
77	в глазах	3	2
78	в данном	4	2
79	не случайно	3	2
80	потому что	3	2
81	знает что	2	2
82	в первом	2	2
83	тем что	2	2
84	он и	2	2
85	и ее	2	2
86	еще раз	2	2
87	как у	4	2
88	о том	6	2
89	его в	2	2
90	в самом	3	2
91	в одном	4	2
92	никогда не	4	2
93	одном из	2	2
94	собой но	2	2
95	русской литературы	2	2
