N	2gram	Bakhtin_sl_2	VerxiiNi
1	и в	39	26
2	таким образом	8	22
3	вместе с	2	15
4	в этом	16	15
5	точки зрения	8	13
6	как бы	7	12
7	в том	5	11
8	может быть	37	10
9	не только	24	10
10	и с	9	10
11	связи с	3	9
12	что в	3	9
13	но и	21	9
14	в области	2	9
15	так как	4	9
16	с другой	5	8
17	но не	6	8
18	и не	22	8
19	связанные с	4	7
20	том что	5	7
21	но все	5	7
22	одной стороны	5	7
23	к нему	3	7
24	то что	2	7
25	с одной	5	7
26	но в	6	7
27	и потому	7	6
28	всяком случае	2	6
29	что и	3	6
30	все же	6	6
31	так и	15	6
32	все это	16	6
33	в отношении	4	6
34	все эти	6	6
35	с точки	3	6
36	во всяком	3	6
37	в себе	2	6
38	о том	2	6
39	и к	6	5
40	отношение к	4	5
41	до сих	2	5
42	в его	7	5
43	никогда не	7	5
44	сих пор	2	5
45	или менее	2	5
46	лишь в	3	5
47	а не	14	5
48	того чтобы	2	5
49	для того	2	5
50	и для	5	5
51	более или	2	5
52	в этих	7	4
53	и от	3	4
54	что он	2	4
55	в нем	19	4
56	в смысле	4	4
57	не может	20	4
58	а в	4	4
59	то же	4	4
60	что оно	4	4
61	с другими	4	4
62	в виде	2	4
63	он не	2	4
64	в то	4	4
65	только в	5	4
66	то есть	26	4
67	далеко не	2	4
68	не менее	4	3
69	и другие	2	3
70	как о	2	3
71	хотя бы	3	3
72	для него	7	3
73	и как	3	3
74	и при	2	3
75	в своем	6	3
76	и нет	2	3
77	отношению к	4	3
78	в связи	2	3
79	при этом	7	3
80	уже не	5	3
81	в значительной	6	3
82	и даже	7	3
83	в таком	4	3
84	в результате	2	3
85	в одном	2	3
86	уже в	2	2
87	не могут	5	2
88	с его	7	2
89	именно в	2	2
90	из себя	3	2
91	в них	6	2
92	и особенно	2	2
93	и мир	4	2
94	тогда когда	2	2
95	прежде всего	8	2
96	не всегда	2	2
97	в свою	3	2
98	или иной	5	2
99	а также	3	2
100	к его	2	2
101	и здесь	2	2
102	его от	3	2
103	мы видели	2	2
104	требует от	2	2
105	все что	2	2
106	же время	4	2
107	связано с	3	2
108	еще не	7	2
109	со всеми	2	2
110	конечно не	5	2
111	для всех	4	2
112	той или	5	2
113	и проч	2	2
114	один из	5	2
115	не с	3	2
116	жизни и	6	2
117	во всех	12	2
118	в процессе	13	2
119	быть и	3	2
120	отличается от	2	2
121	для этого	4	2
122	особенно в	2	2
123	не было	2	2
124	этом отношении	3	2
125	одновременно и	3	2
126	те же	2	2
127	в одно	2	2
128	одним из	2	2
129	наконец в	4	2
130	с одним	2	2
131	его не	4	2
132	и на	4	2
133	людей и	2	2
134	связан с	3	2
135	сказать что	3	2
136	не в	9	2
137	и наконец	5	2
138	и связанные	2	2
139	от подлинной	2	2
140	и все	5	2
141	которые в	2	2
142	между тем	3	2
143	из него	2	2
144	в новом	2	2
