N	3gram	Losev_Dial_1	Problemy
1	в то же	4	10
2	то же время	4	10
3	на самом деле	2	9
4	той или иной	3	4
5	во всяком случае	2	4
6	в этом смысле	3	3
7	одно и то	4	3
8	в конце концов	3	3
9	и в нем	2	3
10	с другой стороны	4	3
11	и то же	4	3
12	друг к другу	2	3
13	не может быть	3	3
14	одна и та	2	2
15	и в этом	3	2
16	с точки зрения	12	2
17	и в то	2	2
18	по себе и	2	2
19	то что я	2	2
20	и та же	2	2
21	можно было бы	4	2
22	сам по себе	6	2
23	мы можем сказать	2	2
24	можем сказать что	2	2
25	в том что	7	2
26	внутреннего и внешнего	6	2
