N	2gram	Tiupa_Anal_3	Myshleni
1	в том	9	42
2	том что	12	35
3	таким образом	4	25
4	точки зрения	3	24
5	в этом	14	24
6	в качестве	12	21
7	и в	18	20
8	что в	9	19
9	то же	3	16
10	то что	2	15
11	не только	22	15
12	что они	3	14
13	с другой	7	12
14	при этом	11	12
15	в их	6	12
16	может быть	9	12
17	в целом	3	11
18	в его	7	11
19	с точки	2	11
20	этого слова	2	11
21	в себе	2	10
22	только в	2	10
23	и как	4	9
24	одной стороны	2	9
25	но и	13	9
26	другой стороны	5	9
27	с одной	2	9
28	между тем	5	9
29	могли бы	2	9
30	как это	3	9
31	как и	14	9
32	того же	5	9
33	что и	5	9
34	и не	12	8
35	в результате	5	8
36	было бы	3	8
37	вместе с	2	8
38	как бы	10	7
39	этом отношении	3	7
40	что мы	2	7
41	самом деле	2	7
42	тем самым	4	7
43	а не	9	7
44	тем что	2	7
45	могут быть	2	7
46	уже в	3	6
47	одного и	3	6
48	к тому	6	6
49	тому же	3	6
50	такого рода	5	6
51	в самом	5	6
52	не может	2	6
53	те же	2	6
54	и на	4	6
55	сказать что	2	6
56	по своей	2	6
57	его в	3	6
58	с тем	2	6
59	что он	4	6
60	той же	5	6
61	перед нами	4	5
62	в частности	12	5
63	никогда не	5	5
64	это не	2	5
65	обе эти	2	5
66	не является	5	5
67	только не	3	5
68	и его	13	5
69	с этим	3	5
70	и к	4	5
71	все же	4	5
72	и того	3	5
73	о том	6	5
74	так и	14	5
75	как в	3	5
76	одной и	2	5
77	в готовом	2	5
78	все эти	2	5
79	мы можем	2	5
80	представляется нам	2	4
81	в своем	4	4
82	как уже	2	4
83	возникает в	2	4
84	и той	2	4
85	роль в	3	4
86	состоит в	4	4
87	к этому	3	4
88	по своему	2	4
89	в сущности	5	4
90	ключ к	3	4
91	не в	6	4
92	и для	2	4
93	во всяком	2	4
94	не менее	4	3
95	и от	2	3
96	в этой	6	3
97	всяком случае	2	3
98	один из	2	3
99	со стороны	9	3
100	именно в	3	3
101	столь же	4	3
102	на его	2	3
103	но в	2	3
104	отнюдь не	4	3
105	представляет собой	5	3
106	во всем	3	3
107	но не	7	3
108	со всеми	2	3
109	только к	2	3
110	себя в	4	3
111	когда он	2	3
112	приводит к	4	3
113	внимание на	4	3
114	совершенно не	2	3
115	в каждом	3	2
116	прежде всего	5	2
117	который не	2	2
118	свою очередь	4	2
119	в свою	5	2
120	для него	6	2
121	в ней	2	2
122	в нем	2	2
123	данном случае	3	2
124	нам не	2	2
125	в отличие	2	2
126	а в	10	2
127	в данном	4	2
128	из этих	3	2
129	и здесь	2	2
130	но как	3	2
131	в начале	6	2
132	когда мы	2	2
133	мы имеем	5	2
134	но они	2	2
135	указывает на	3	2
136	еще не	6	2
137	видеть в	2	2
138	свое время	2	2
139	как показывает	2	2
140	далеко не	4	2
141	в свое	2	2
142	а также	2	2
143	даже в	2	2
144	не есть	4	2
145	как говорит	3	2
146	ли не	4	2
147	и т.п	5	2
148	входит в	2	2
149	тогда как	20	2
150	в той	2	2
151	по пути	4	2
152	и он	2	2
153	в слове	5	2
154	тому как	2	2
155	подобно тому	3	2
156	и т.д	2	2
157	вопроса о	2	2
158	здесь не	3	2
159	едва ли	3	2
160	отличие от	2	2
