N	2gram	Bakhtin_Pr_3	Dialekti
1	и не	15	30
2	а не	11	18
3	может быть	12	17
4	ничего не	6	17
5	то что	9	16
6	и в	53	15
7	как бы	14	14
8	так как	7	14
9	точки зрения	4	14
10	что это	2	13
11	это не	6	12
12	прежде всего	15	11
13	в том	14	11
14	не может	2	11
15	говорить о	2	11
16	и все	10	11
17	в этом	8	11
18	в основе	5	10
19	потому что	5	10
20	том что	5	10
21	было бы	5	9
22	все это	8	9
23	мы не	4	9
24	то же	6	9
25	с точки	2	9
26	не в	2	8
27	в себе	5	8
28	не только	4	8
29	и ее	6	8
30	и это	3	8
31	что в	2	7
32	что именно	2	7
33	что он	4	7
34	как и	11	7
35	теперь мы	4	7
36	и его	10	7
37	и вообще	3	7
38	только в	4	7
39	перед нами	5	6
40	же время	5	6
41	хотя и	4	6
42	и тем	2	6
43	и даже	2	6
44	сказать что	10	6
45	вовсе не	3	6
46	тем более	2	6
47	в то	5	6
48	что и	3	6
49	нет ничего	2	6
50	я не	4	5
51	так и	6	5
52	можно сказать	8	5
53	в ней	7	5
54	в нем	10	5
55	таким образом	6	5
56	именно в	2	5
57	и на	18	5
58	о том	2	5
59	с его	2	5
60	в жизни	8	5
61	что я	2	5
62	в смысле	2	5
63	в сущности	10	5
64	в себя	6	5
65	и для	4	5
66	той же	5	5
67	идеи и	3	4
68	но это	3	4
69	есть в	3	4
70	один из	6	4
71	и уже	2	4
72	жизни и	9	4
73	но и	7	4
74	в особенности	2	4
75	на свете	2	4
76	также и	4	4
77	и с	6	4
78	не о	2	4
79	мы должны	4	4
80	бытия и	2	4
81	мы видим	2	4
82	или по	3	4
83	с их	2	4
84	еще не	5	4
85	хотя бы	2	4
86	в его	8	4
87	в собственном	2	3
88	и если	3	3
89	и той	2	3
90	для всех	2	3
91	себя и	2	3
92	в их	2	3
93	все эти	9	3
94	и наконец	2	3
95	с этим	2	3
96	даже и	2	3
97	в истории	3	3
98	с ним	2	3
99	нет ни	2	3
100	но в	5	3
101	можно назвать	2	3
102	в один	2	3
103	к этому	4	3
104	есть и	2	3
105	мы уже	5	3
106	в своей	3	3
107	и потому	5	3
108	говорит о	2	3
109	быть и	2	3
110	как в	7	3
111	мы можем	5	3
112	могут быть	4	3
113	в области	3	3
114	от него	3	3
115	не менее	3	2
116	прежде чем	2	2
117	мы еще	3	2
118	и без	3	2
119	человека и	7	2
120	главным образом	3	2
121	на все	2	2
122	собственном смысле	2	2
123	да и	2	2
124	эти два	2	2
125	и идеи	4	2
126	кроме того	3	2
127	при этом	3	2
128	в самом	2	2
129	понять и	2	2
130	которые мы	2	2
131	никогда не	2	2
132	у достоевского	17	2
133	из них	4	2
134	и их	2	2
135	в разных	4	2
136	не было	4	2
137	мы находим	2	2
138	и по	3	2
139	идеи в	2	2
140	и так	3	2
141	во всем	2	2
142	как это	2	2
143	но они	4	2
144	в них	2	2
145	сравнению с	4	2
146	и во	4	2
147	что уже	2	2
148	в ее	3	2
149	одной из	4	2
150	и из	3	2
151	конечно не	4	2
152	тем не	2	2
153	нем нет	3	2
154	по сравнению	4	2
155	во всех	12	2
156	вместе с	2	2
157	ее в	3	2
158	во всей	4	2
159	истории и	2	2
160	все равно	4	2
161	и событий	3	2
162	тем что	2	2
163	как будто	2	2
164	и жизни	2	2
165	в которой	2	2
166	это было	3	2
