N	3gram	Propp_Isto_1	Psycholo
1	на то что	4	16
2	в том что	4	14
3	с одной стороны	4	12
4	мы увидим что	5	6
5	в зависимости от	2	6
6	о том что	3	6
7	до сих пор	5	5
8	с другой стороны	5	5
9	по этому поводу	2	4
10	мы видим что	8	3
11	с самого начала	2	3
12	вместе с тем	2	3
13	то же самое	3	3
14	на этот вопрос	2	3
15	и т д	22	3
16	можно было бы	3	3
17	друг с другом	3	3
18	и когда он	2	2
19	же обстоит дело	2	2
20	если бы мы	2	2
21	в отличие от	2	2
22	мы должны будем	4	2
23	так же как	2	2
24	то что в	2	2
25	не может быть	7	2
26	так же обстоит	2	2
27	вопрос о том	2	2
28	само по себе	2	2
29	таким образом мы	2	2
