N	2gram	Tiupa_Hudo_1	Otkroven
1	и в	19	19
2	но и	10	13
3	и не	15	13
4	в этом	11	12
5	а не	9	11
6	не в	7	11
7	может быть	14	11
8	не только	16	11
9	в нем	5	10
10	никогда не	2	9
11	в самой	2	9
12	потому что	3	9
13	прежде всего	4	9
14	лишь в	4	7
15	но он	3	7
16	он не	4	7
17	в его	9	7
18	все это	2	6
19	как и	2	6
20	то что	4	5
21	а в	12	5
22	отношение к	5	5
23	в том	18	5
24	для него	4	5
25	в этой	2	5
26	в самом	5	5
27	с его	6	4
28	того чтобы	2	4
29	и его	12	4
30	все эти	2	4
31	не может	7	4
32	человеческих отношений	2	4
33	что в	6	4
34	к нему	3	3
35	в этих	3	3
36	это не	2	3
37	что он	3	3
38	того что	4	3
39	для того	2	3
40	еще не	3	3
41	могут быть	4	3
42	и ее	3	3
43	в себе	9	3
44	в русской	3	3
45	никто не	2	3
46	о том	2	3
47	с ним	2	3
48	как бы	9	3
49	что и	2	2
50	ее в	2	2
51	в душе	8	2
52	и для	2	2
53	так и	11	2
54	жизни в	2	2
55	в своем	2	2
56	при чтении	2	2
57	как к	2	2
58	не все	2	2
59	по себе	2	2
60	и к	3	2
61	в ее	5	2
62	в которой	2	2
63	том что	8	2
64	своей жизни	2	2
65	в другом	3	2
66	и на	2	2
67	и то	4	2
68	сказать что	4	2
69	человека к	3	2
70	личности и	3	2
71	одно из	2	2
72	его в	2	2
73	в своей	5	2
74	этом мире	2	2
75	и о	3	2
76	хотя и	3	2
77	но в	7	2
78	и потому	2	2
