N	2gram	Medvedev_F_2	VeschiIm
1	не есть	3	49
2	т е	26	42
3	не может	14	33
4	не только	9	31
5	может быть	23	29
6	и не	20	28
7	и в	38	26
8	то что	6	24
9	и т	14	21
10	т д	5	20
11	а не	6	20
12	не просто	2	18
13	есть только	2	17
14	только в	6	14
15	того что	3	13
16	по себе	7	13
17	что это	3	12
18	было бы	6	12
19	но и	13	12
20	сказать что	2	12
21	все же	8	12
22	и то	2	12
23	и ее	6	12
24	что же	5	11
25	таким образом	20	11
26	с нею	2	11
27	то же	6	10
28	уже не	7	10
29	в ней	6	10
30	как бы	4	10
31	потому что	2	10
32	в том	11	9
33	в самом	16	9
34	и с	9	9
35	прежде всего	15	9
36	то ни	2	9
37	что не	4	9
38	но это	2	8
39	смысл и	2	8
40	и это	2	8
41	ничего не	4	8
42	смысла и	2	7
43	совершенно не	4	7
44	что оно	4	7
45	говорить о	5	7
46	в то	5	7
47	его в	3	7
48	так как	4	7
49	том что	2	7
50	не будет	2	7
51	и их	3	7
52	как раз	6	7
53	и пр	21	7
54	с другими	10	7
55	в этом	27	7
56	и как	3	6
57	что они	4	6
58	что в	7	6
59	для него	7	6
60	жизни и	3	6
61	со стороны	2	6
62	и только	5	6
63	должно быть	2	6
64	в результате	6	6
65	точки зрения	8	6
66	но в	4	6
67	она не	2	6
68	если мы	5	6
69	с ним	2	6
70	должна быть	5	5
71	это не	2	5
72	не в	15	5
73	и до	3	5
74	звук и	2	5
75	для этого	2	5
76	только и	3	5
77	а в	6	5
78	что для	2	5
79	как к	3	5
80	чем же	3	5
81	ни на	2	5
82	с тем	11	5
83	если бы	5	5
84	отнюдь не	8	5
85	в ее	2	5
86	это и	5	5
87	но не	2	5
88	же это	2	5
89	в сущности	4	5
90	и для	5	5
91	в чем	2	5
92	с другой	3	4
93	явления и	2	4
94	независимо от	4	4
95	же время	5	4
96	из них	4	4
97	в их	6	4
98	то и	3	4
99	мы говорим	4	4
100	точке зрения	2	4
101	и даже	4	4
102	с этим	5	4
103	как таковая	2	4
104	и более	2	4
105	и все	3	4
106	то это	3	4
107	как и	9	4
108	во всех	5	4
109	и о	2	4
110	однако не	3	4
111	на почве	9	4
112	оно не	4	4
113	что и	8	4
114	быть и	3	4
115	слово и	2	4
116	даже не	2	4
117	этот вопрос	2	4
118	между ними	2	4
119	с точки	7	4
120	мы не	3	4
121	тем что	8	4
122	и другое	2	3
123	никогда не	2	3
124	что именно	2	3
125	к тому	4	3
126	на этом	2	3
127	как о	4	3
128	было в	2	3
129	в нем	13	3
130	сам по	3	3
131	отношение к	2	3
132	все это	3	3
133	ее как	2	3
134	их в	2	3
135	но как	2	3
136	даже и	4	3
137	к другому	2	3
138	в понятии	2	3
139	один из	2	3
140	что он	5	3
141	нужно было	2	3
142	ни о	5	3
143	можно и	3	3
144	в своей	7	3
145	вместе с	6	3
146	так и	8	3
147	только на	3	3
148	в той	2	3
149	самом деле	8	3
150	бы в	5	3
151	того чтобы	3	3
152	хотя бы	6	3
153	не то	3	3
154	ее с	2	3
155	вопроса о	2	3
156	если это	2	3
157	в основе	5	3
158	тому что	2	2
159	была бы	3	2
160	что на	2	2
161	а только	2	2
162	ни в	2	2
163	но все	3	2
164	кроме того	2	2
165	в виду	2	2
166	но совершенно	2	2
167	и тем	2	2
168	для всего	2	2
169	в слове	5	2
170	во втором	7	2
171	от всех	2	2
172	от одного	2	2
173	как ее	3	2
174	но ведь	3	2
175	в первом	7	2
176	как это	2	2
177	как она	2	2
178	ничем не	2	2
179	является в	2	2
180	от этого	3	2
181	превращается в	2	2
182	смысле что	2	2
183	то в	2	2
184	в качестве	2	2
185	но именно	3	2
186	и может	3	2
187	для нее	2	2
188	он не	6	2
189	как в	4	2
190	находится в	2	2
191	приводит к	2	2
192	о каком	3	2
193	еще более	5	2
194	как мы	7	2
195	в в	2	2
196	можно говорить	2	2
197	для того	3	2
198	тем же	3	2
199	смысла т	2	2
200	и его	21	2
201	во всяком	5	2
202	если же	2	2
203	в особенности	4	2
204	это было	3	2
