N	2gram	Bakhtin_fo_2	Problemy
1	и в	46	43
2	и не	9	29
3	может быть	7	23
4	как бы	10	22
5	не может	2	18
6	в пределах	5	16
7	но и	9	14
8	как и	8	14
9	и т	14	13
10	точки зрения	10	13
11	в этом	22	13
12	что он	3	13
13	в нем	5	12
14	в одном	7	12
15	слова и	3	12
16	не в	9	11
17	по себе	2	11
18	не только	11	11
19	прежде всего	14	10
20	и на	7	10
21	но в	10	10
22	в его	8	10
23	как мы	6	10
24	никогда не	6	9
25	в большинстве	3	9
26	еще не	6	9
27	в сущности	2	9
28	он не	5	9
29	т п	11	9
30	для него	3	8
31	лишь в	2	8
32	большинстве случаев	3	8
33	то же	8	8
34	с точки	8	8
35	и его	12	8
36	до сих	2	7
37	к себе	4	7
38	в то	5	7
39	то что	7	7
40	сих пор	2	7
41	а не	4	7
42	в другом	3	7
43	в этих	3	6
44	в том	10	6
45	при этом	6	6
46	в котором	4	6
47	и наконец	6	6
48	и все	6	6
49	у него	9	6
50	здесь не	2	6
51	так сказать	7	6
52	так что	4	5
53	же время	4	5
54	хотя и	3	5
55	все это	6	5
56	таким образом	3	5
57	все эти	5	5
58	а в	3	5
59	рядом с	2	5
60	и с	6	5
61	тон и	2	5
62	самим собою	2	5
63	но здесь	2	5
64	вовсе не	13	5
65	о том	4	5
66	но не	5	5
67	было бы	2	5
68	в той	2	5
69	и он	4	5
70	в себе	4	5
71	что в	5	4
72	в своем	5	4
73	с другой	2	4
74	к тому	3	4
75	в самой	2	4
76	до конца	2	4
77	но это	2	4
78	друг с	4	4
79	т д	3	4
80	должно быть	5	4
81	их в	4	4
82	но он	2	4
83	человека в	6	4
84	во время	10	4
85	так как	6	4
86	то есть	10	4
87	в них	7	4
88	как его	2	4
89	том же	4	4
90	и до	2	4
91	во всех	11	4
92	но эти	3	4
93	не на	3	4
94	себе самому	3	4
95	там где	2	4
96	между ними	2	4
97	с другом	4	4
98	только в	11	4
99	далеко не	2	4
100	и это	2	4
101	мы будем	3	3
102	себя и	3	3
103	в отношении	2	3
104	это не	2	3
105	в одной	2	3
106	есть и	4	3
107	переходим к	3	3
108	или иной	2	3
109	он был	2	3
110	в последнем	2	3
111	кроме того	3	3
112	в виду	3	3
113	уже говорили	4	3
114	и их	4	3
115	в их	3	3
116	и только	2	3
117	и даже	3	3
118	его в	6	3
119	с ним	4	3
120	не знает	2	3
121	и к	2	3
122	в романе	13	3
123	по существу	5	3
124	того же	3	3
125	здесь в	6	3
126	она не	2	3
127	тот же	3	3
128	со всеми	2	3
129	мы уже	9	3
130	наконец в	2	3
131	что и	3	3
132	все же	6	3
133	так и	7	3
134	связи между	2	3
135	в себя	2	3
136	уже не	3	3
137	также и	4	3
138	и для	9	3
139	тем что	3	3
140	могут быть	2	3
141	уже в	4	2
142	не был	2	2
143	та же	3	2
144	из этих	4	2
145	в конце	2	2
146	человека и	4	2
147	в образе	4	2
148	одна и	2	2
149	что на	3	2
150	словом и	2	2
151	без всякого	2	2
152	и как	3	2
153	своей жизни	2	2
154	ту же	2	2
155	и др	5	2
156	друг от	2	2
157	отношение к	3	2
158	для чего	2	2
159	в форме	3	2
160	целый ряд	3	2
161	отношения к	4	2
162	но эта	2	2
163	образ человека	2	2
164	здесь мы	3	2
165	того что	3	2
166	мы наблюдаем	3	2
167	так же	2	2
168	особенно в	2	2
169	каждый из	2	2
170	опирается на	2	2
171	друг на	2	2
172	в которых	3	2
173	он так	2	2
174	и так	2	2
175	на друга	2	2
176	из них	8	2
177	как он	2	2
178	во всяком	2	2
179	и та	2	2
180	в плоскости	2	2
181	с этим	5	2
182	лежит в	2	2
183	что было	3	2
184	его жизни	4	2
185	а затем	3	2
186	у нас	2	2
187	по своему	2	2
188	от друга	2	2
189	конечно не	4	2
190	и о	2	2
191	и пр	2	2
192	быть и	2	2
193	ее в	3	2
194	как в	4	2
195	еще более	4	2
196	и они	3	2
197	том что	4	2
198	тем же	2	2
199	и всегда	2	2
200	почти всегда	2	2
201	значение для	2	2
202	автора и	2	2
203	в поэзии	2	2
204	и самое	4	2
205	все его	4	2
