N	2gram	Savitsky_P_1	Myslijsy
1	потому что	3	46
2	в том	9	32
3	и в	14	30
4	может быть	5	28
5	то же	9	23
6	не только	17	21
7	только в	7	21
8	для нас	2	20
9	но и	6	19
10	том что	4	18
11	то что	4	18
12	того что	2	18
13	что в	4	17
14	по себе	4	16
15	в себе	3	16
16	не в	5	15
17	и не	12	15
18	а не	2	15
19	а в	4	12
20	если бы	4	12
21	в этом	10	10
22	в то	7	10
23	было бы	6	9
24	в нем	3	9
25	мы не	3	9
26	между тем	3	9
27	в ней	6	8
28	что мы	3	8
29	и без	3	7
30	с другой	5	7
31	с тем	3	7
32	но не	3	7
33	есть не	2	7
34	с одной	3	7
35	тем самым	3	7
36	с этим	2	6
37	из них	2	6
38	например в	2	6
39	не может	4	6
40	в них	2	5
41	думать что	2	5
42	и как	3	5
43	же время	7	5
44	в своем	4	5
45	мысль о	2	5
46	и тем	2	5
47	заключает в	2	5
48	не менее	2	5
49	должно быть	2	5
50	как на	2	5
51	и т	3	5
52	столь же	3	4
53	в смысле	6	4
54	все это	2	4
55	в его	2	4
56	в котором	4	4
57	тем более	2	4
58	не к	2	4
59	есть нечто	2	4
60	не было	2	4
61	для того	3	4
62	мы должны	4	4
63	и это	2	4
64	и потому	4	4
65	быть может	6	3
66	и есть	2	3
67	могут быть	3	3
68	прежде всего	3	3
69	я и	3	3
70	именно в	2	3
71	есть в	2	3
72	бы ни	2	3
73	одной стороны	3	3
74	вслед за	3	3
75	в ряду	2	3
76	никак не	2	3
77	как бы	4	3
78	время в	2	3
79	со стороны	2	3
80	в силу	2	3
81	говорить о	2	3
82	в начале	2	3
83	с т	4	2
84	не столько	2	2
85	слова но	2	2
86	в ее	2	2
87	с к	7	2
88	и мы	2	2
89	и если	4	2
90	и о	5	2
91	же в	4	2
92	в виде	2	2
93	в которых	5	2
94	точки зрения	3	2
95	отношении к	5	2
96	в области	11	2
97	и с	2	2
