N	2gram	Berdyaev_V_1	Problemy
1	и в	16	34
2	и не	20	29
3	как бы	5	27
4	что он	4	23
5	в его	4	22
6	в нем	4	19
7	и все	4	19
8	как и	4	18
9	но в	3	16
10	все это	5	16
11	в этом	4	16
12	прежде всего	2	15
13	что я	3	15
14	для него	2	13
15	но и	5	12
16	потому что	4	12
17	то что	9	11
18	не только	2	10
19	не в	3	9
20	а не	7	9
21	никогда не	3	8
22	и т	2	8
23	с ним	2	8
24	и для	3	8
25	что в	3	7
26	что не	4	7
27	что они	7	6
28	с его	3	6
29	от него	2	6
30	так и	4	6
31	только в	2	6
32	это не	2	5
33	в конце	3	5
34	к тому	3	5
35	и что	3	5
36	того что	5	5
37	и сам	2	5
38	лишь в	3	5
39	а в	2	5
40	когда я	2	5
41	что ты	3	5
42	с тем	2	5
43	что и	3	5
44	хотя бы	3	5
45	во всяком	2	5
46	в чем	3	5
47	что все	4	4
48	ни в	3	4
49	да и	2	4
50	но это	3	4
51	человека как	2	4
52	все эти	3	4
53	так как	9	4
54	но не	2	4
55	еще не	8	4
56	бы и	3	4
57	все равно	2	4
58	в мире	5	4
59	тем что	2	4
60	и это	2	4
61	его к	2	3
62	в том	3	3
63	хотя и	5	3
64	в котором	4	3
65	жизни и	3	3
66	его и	2	3
67	должно быть	3	3
68	их в	3	3
69	в ней	4	3
70	говорить о	4	3
71	и во	2	3
72	том что	2	3
73	между тем	2	3
74	ивана карамазова	2	3
75	нет и	2	3
76	в своей	3	3
77	а с	2	3
78	если не	3	3
79	и то	2	3
80	а между	2	3
81	не было	3	2
82	тому что	3	2
83	мы и	2	2
84	материалом для	2	2
85	в последнем	2	2
86	один из	2	2
87	в форме	2	2
88	т д	2	2
89	самого себя	2	2
90	в них	3	2
91	в жизни	3	2
92	великого инквизитора	36	2
93	не с	2	2
94	а к	2	2
95	тот же	3	2
96	конечно не	2	2
97	во всех	3	2
98	и потому	7	2
99	в силах	4	2
100	уже не	2	2
101	к чему	3	2
102	за ним	3	2
103	же ты	3	2
