N	3gram	Vinokur_Vv_1	Marksizm
1	с точки зрения	2	20
2	не может быть	8	13
3	в самом деле	5	9
4	до сих пор	5	8
5	в связи с	2	7
6	и того же	2	5
7	одного и того	2	5
8	в отличие от	3	5
9	с другой стороны	5	5
10	то же самое	2	3
11	может быть и	2	3
12	в то же	5	3
13	на этот вопрос	3	3
14	то же время	5	3
15	можно сказать что	3	3
16	в конце концов	2	3
17	языка и его	2	3
18	в этом отношении	3	3
19	в первом случае	2	3
20	в том что	12	3
21	в этом случае	6	3
22	но все же	3	3
23	для того чтобы	21	3
24	смысле этого слова	2	2
25	и той же	2	2
26	не могут быть	2	2
27	можно было бы	3	2
28	тем не менее	8	2
29	сама по себе	3	2
30	но в то	3	2
31	во всяком случае	3	2
32	в чем же	3	2
33	в этом смысле	10	2
34	по отношению к	4	2
35	одной и той	2	2
36	вопрос о том	5	2
