N	2gram	Potebnia_M_2	Problemy
1	и в	24	43
2	и не	19	29
3	может быть	23	23
4	как бы	9	22
5	не может	12	18
6	но и	9	14
7	как и	7	14
8	и т	6	13
9	в этом	8	13
10	что он	4	13
11	слова в	5	12
12	в нем	9	12
13	в одном	6	12
14	слова и	3	12
15	в каждом	2	11
16	не в	13	11
17	по себе	15	11
18	не только	15	11
19	прежде всего	7	10
20	и на	8	10
21	но в	4	10
22	в его	2	10
23	никогда не	4	9
24	еще не	4	9
25	т п	3	9
26	для него	10	8
27	то же	12	8
28	и его	2	8
29	или в	2	8
30	до сих	4	7
31	в самом	4	7
32	в то	6	7
33	то что	20	7
34	сих пор	4	7
35	а не	18	7
36	в другом	2	7
37	в этих	3	6
38	в том	18	6
39	при этом	13	6
40	в котором	4	6
41	и все	3	6
42	у него	2	6
43	не как	3	6
44	так сказать	4	6
45	на то	5	5
46	так что	10	5
47	же время	2	5
48	хотя и	3	5
49	нам кажется	4	5
50	все это	2	5
51	по отношению	2	5
52	таким образом	11	5
53	все эти	2	5
54	а в	8	5
55	рядом с	3	5
56	слово с	2	5
57	бы в	2	5
58	к другому	4	5
59	вовсе не	9	5
60	о том	5	5
61	но не	12	5
62	было бы	13	5
63	и что	4	5
64	самом деле	2	5
65	в слове	13	5
66	сам по	4	5
67	в себе	10	5
68	не могут	7	4
69	сама по	2	4
70	что в	16	4
71	с другой	6	4
72	в самой	3	4
73	но это	3	4
74	между собою	7	4
75	на предмет	2	4
76	по мере	5	4
77	в словах	3	4
78	слово как	2	4
79	т д	3	4
80	должно быть	2	4
81	их в	2	4
82	но он	2	4
83	человека в	3	4
84	во время	4	4
85	так как	10	4
86	то есть	30	4
87	с его	2	4
88	в них	5	4
89	во всех	7	4
90	но эти	2	4
91	не на	2	4
92	там где	4	4
93	между ними	2	4
94	мы не	11	4
95	только в	11	4
96	может стать	2	4
97	далеко не	3	4
98	и это	2	4
99	не менее	5	3
100	в человеке	4	3
101	что если	6	3
102	себя и	2	3
103	это не	3	3
104	такой же	4	3
105	есть в	2	3
106	более или	8	3
107	в формах	2	3
108	и следовательно	2	3
109	зрения и	7	3
110	и их	5	3
111	и только	6	3
112	в одно	8	3
113	и здесь	2	3
114	во всем	2	3
115	его в	3	3
116	с ним	5	3
117	между тем	6	3
118	в жизни	2	3
119	если бы	11	3
120	того же	14	3
121	тот же	5	3
122	кажется что	3	3
123	за пределы	2	3
124	что и	11	3
125	все же	5	3
126	на него	3	3
127	так и	5	3
128	или менее	8	3
129	в себя	2	3
130	уже не	4	3
131	эту минуту	3	3
132	другой стороны	2	3
133	и для	3	3
134	той же	3	3
135	тем что	7	3
136	могут быть	8	3
137	в эту	3	3
138	уже в	5	2
139	самый предмет	2	2
140	но на	2	2
141	что у	2	2
142	из этих	4	2
143	мы чувствуем	3	2
144	человека и	3	2
145	вопрос о	2	2
146	нет но	3	2
147	от них	3	2
148	что на	3	2
149	слова но	2	2
150	что может	2	2
151	тем не	6	2
152	для нас	31	2
153	и как	6	2
154	но все	2	2
155	что это	3	2
156	например в	3	2
157	что такое	2	2
158	оно должно	3	2
159	время как	4	2
160	то это	3	2
161	в целом	3	2
162	то и	9	2
163	отношения к	2	2
164	того что	7	2
165	так же	2	2
166	с ними	3	2
167	от одного	3	2
168	а то	2	2
169	сказать что	2	2
170	собою и	2	2
171	из них	5	2
172	как он	4	2
173	во всяком	7	2
174	ни было	3	2
175	превращается в	2	2
176	с этим	7	2
177	этом смысле	2	2
178	бы ни	5	2
179	сознании и	2	2
180	у нас	2	2
181	и при	3	2
182	одна из	4	2
183	то время	4	2
184	указывает на	2	2
185	одно и	2	2
186	с теми	2	2
187	этого слова	6	2
188	не есть	6	2
189	как в	10	2
190	не во	2	2
191	а с	2	2
192	и они	2	2
193	если мы	3	2
194	и сами	4	2
195	том что	8	2
196	что не	5	2
197	должны быть	4	2
198	тем же	3	2
199	хотя бы	2	2
200	в таком	4	2
201	и то	3	2
202	мы можем	12	2
203	сознание и	4	2
204	отношении к	2	2
205	бы не	5	2
206	а между	4	2
207	того как	7	2
