N	3gram	Tiupa_Anal_3	Vvedenie
1	о том что	5	12
2	в том что	7	12
3	тем не менее	2	8
4	то же время	3	6
5	в то же	3	6
6	с другой стороны	5	5
7	в данном случае	3	4
8	по крайней мере	4	4
9	с одной стороны	2	4
10	в этом отношении	3	4
11	во всяком случае	2	4
12	по отношению к	7	4
13	в свое время	2	3
14	можно сказать что	2	3
15	сама по себе	2	3
16	и той же	2	2
17	той или иной	3	2
18	дело в том	2	2
19	с точки зрения	2	2
20	что несмотря на	2	2
21	тем или иным	2	2
22	подобно тому как	2	2
23	одной и той	2	2
