N	2gram	Propp_Isto_6	VeschiIm
1	не есть	2	49
2	т е	22	42
3	не может	6	33
4	не только	10	31
5	может быть	11	29
6	и не	10	28
7	и в	26	26
8	то что	6	24
9	значит что	2	22
10	и т	10	21
11	т д	8	20
12	а не	2	20
13	что она	3	14
14	только в	5	14
15	и что	5	13
16	того что	2	13
17	что это	2	12
18	было бы	2	12
19	но и	9	12
20	сказать что	3	12
21	все же	8	12
22	и то	3	12
23	и ее	3	12
24	что же	2	11
25	таким образом	12	11
26	то же	5	10
27	уже не	7	10
28	в ней	5	10
29	как бы	4	10
30	и больше	2	10
31	потому что	13	10
32	что мы	2	10
33	в том	12	9
34	и с	6	9
35	прежде всего	4	9
36	что не	2	9
37	на то	2	8
38	но это	4	8
39	что иное	2	8
40	в себе	3	8
41	и это	8	8
42	ничего не	2	8
43	что оно	4	7
44	в то	5	7
45	его в	5	7
46	так как	18	7
47	е в	2	7
48	том что	10	7
49	есть и	4	7
50	не будет	5	7
51	в этом	12	7
52	ее не	3	6
53	так что	3	6
54	и как	2	6
55	что они	2	6
56	что в	12	6
57	жизни и	2	6
58	со стороны	3	6
59	отличается от	2	6
60	и только	3	6
61	когда мы	2	6
62	но в	7	6
63	она не	3	6
64	относится к	2	6
65	с ним	8	6
66	можно было	2	6
67	быть только	2	6
68	должна быть	3	5
69	вообще не	3	5
70	это не	4	5
71	с этой	2	5
72	не в	3	5
73	еще не	9	5
74	и до	2	5
75	должны быть	2	5
76	а в	3	5
77	с тем	4	5
78	если бы	3	5
79	у нас	5	5
80	одна из	2	5
81	но не	2	5
82	того же	2	5
83	другими словами	3	5
84	она имеет	2	5
85	как только	3	4
86	в своем	2	4
87	с другой	10	4
88	независимо от	3	4
89	только то	2	4
90	себя это	2	4
91	то и	2	4
92	от того	3	4
93	с этим	2	4
94	о том	7	4
95	то это	5	4
96	как и	5	4
97	что и	4	4
98	то или	2	4
99	мы не	6	4
100	в данном	3	4
101	тем что	5	4
102	же не	2	4
103	и другое	2	3
104	никогда не	13	3
105	вопрос о	3	3
106	есть еще	2	3
107	можно сказать	2	3
108	к тому	2	3
109	и сам	2	3
110	в нем	8	3
111	ее имя	2	3
112	мы находим	2	3
113	их в	3	3
114	к себе	2	3
115	но как	4	3
116	мы имеем	14	3
117	или как	2	3
118	в одном	3	3
119	один из	3	3
120	что он	9	3
121	мы видим	5	3
122	в своей	3	3
123	вместе с	8	3
124	так и	5	3
125	а с	2	3
126	же мы	5	2
127	в частности	3	2
128	или другое	2	2
129	ни в	2	2
130	но все	2	2
131	кроме того	3	2
132	мы уже	6	2
133	и тем	4	2
134	образом и	2	2
135	данном случае	3	2
136	и вот	3	2
137	так же	2	2
138	в своих	3	2
139	в более	6	2
140	самого себя	2	2
141	как это	5	2
142	оно может	2	2
143	мы можем	7	2
144	на него	2	2
145	от этого	3	2
146	о чем	2	2
147	а потом	2	2
148	превращается в	7	2
149	если он	3	2
150	с собой	2	2
151	является и	3	2
152	и эти	5	2
153	на этой	2	2
154	в качестве	3	2
155	оно только	2	2
156	наряду с	3	2
157	он не	2	2
158	что из	2	2
159	когда он	3	2
160	как в	6	2
161	тогда как	2	2
162	и они	2	2
163	как мы	4	2
164	и его	7	2
165	из его	2	2
166	во всяком	2	2
167	ту же	2	2
168	не потому	3	2
169	имени нет	2	2
170	том как	3	2
