N	2gram	Propp_Russ_2	Myslijsy
1	потому что	5	46
2	в том	22	32
3	и в	29	30
4	может быть	13	28
5	то же	4	23
6	не только	10	21
7	для нас	6	20
8	но и	8	19
9	том что	22	18
10	то что	5	18
11	того что	3	18
12	что в	22	17
13	не в	4	15
14	а не	4	15
15	таким образом	6	14
16	что и	2	13
17	так как	13	13
18	вместе с	6	12
19	а в	9	12
20	как и	11	10
21	как в	7	10
22	и что	5	10
23	в этом	11	10
24	в то	2	10
25	из этих	2	9
26	только тогда	3	9
27	было бы	3	9
28	мы не	6	9
29	между тем	3	9
30	тогда когда	4	9
31	и то	2	8
32	с другой	2	7
33	как мы	3	7
34	так что	4	7
35	с тем	6	7
36	но не	5	7
37	с одной	2	7
38	тем что	3	7
39	с этим	2	6
40	из них	4	6
41	то и	4	6
42	не может	5	6
43	там же	12	6
44	уже не	4	6
45	не имеет	3	6
46	одно из	2	5
47	в них	4	5
48	и как	2	5
49	очевидно что	2	5
50	еще не	6	5
51	только как	2	5
52	не менее	2	5
53	должно быть	2	5
54	с другими	3	5
55	тому как	3	5
56	и т	5	5
57	к ней	2	5
58	что это	3	4
59	и от	3	4
60	мы видели	7	4
61	все это	10	4
62	то время	2	4
63	в котором	3	4
64	не все	4	4
65	один из	2	4
66	не к	2	4
67	а и	2	4
68	или же	5	4
69	не было	2	4
70	для того	6	4
71	но вместе	2	4
72	и по	3	4
73	что для	3	4
74	того как	2	4
75	быть только	2	4
76	далеко не	4	4
77	и при	2	4
78	могут быть	2	3
79	прежде всего	2	3
80	и все	4	3
81	в образе	2	3
82	к этому	5	3
83	связь с	3	3
84	не можем	2	3
85	тем не	2	3
86	именно в	4	3
87	а к	2	3
88	есть в	2	3
89	что при	2	3
90	одной стороны	2	3
91	при этом	6	3
92	что она	3	3
93	как бы	18	3
94	т д	5	3
95	тем и	2	3
96	того чтобы	6	3
97	к нему	4	3
98	друг друга	3	3
99	так же	4	3
100	в таком	4	3
101	или в	7	3
102	и на	6	3
103	образом в	2	3
104	за ним	3	3
105	его в	8	3
106	там где	2	3
107	заметить что	2	3
108	в которой	2	3
109	во время	12	2
110	об этом	2	2
111	связи с	2	2
112	не столько	2	2
113	та же	2	2
114	это в	2	2
115	не всегда	3	2
116	показывает что	8	2
117	что с	2	2
118	все в	2	2
119	в ее	3	2
120	в этой	3	2
121	она не	3	2
122	или на	8	2
123	нечто вроде	2	2
124	выше мы	3	2
125	том чтобы	2	2
126	и о	3	2
127	том же	4	2
128	должно было	3	2
129	под ним	2	2
130	все же	2	2
131	же в	6	2
132	в своей	2	2
133	в природе	3	2
134	природы и	2	2
135	многие другие	2	2
136	в их	2	2
137	в форме	2	2
138	так в	2	2
139	как средство	2	2
140	тогда как	2	2
141	в других	15	2
142	в виде	4	2
143	а с	2	2
144	это и	2	2
145	в которых	4	2
146	что по	4	2
147	с этой	2	2
148	только одну	2	2
149	их в	4	2
150	людей и	2	2
151	с в	8	2
152	подобно тому	3	2
153	связь между	2	2
154	или с	3	2
155	и после	3	2
156	о том	9	2
157	когда мы	2	2
158	и с	10	2
