N	2gram	Bakhtin_fo_2	Sovremen
1	не может	2	17
2	точки зрения	10	12
3	может быть	7	12
4	таким образом	3	11
5	в этом	22	7
6	и в	46	7
7	и не	9	6
8	как и	8	6
9	прежде всего	14	5
10	все эти	5	5
11	и наконец	6	5
12	с точки	8	5
13	как бы	10	4
14	нет и	3	4
15	мы видели	2	4
16	жизни и	8	4
17	вместе с	9	4
18	это не	2	4
19	а в	3	4
20	не только	11	4
21	с помощью	3	4
22	в том	10	4
23	в дальнейшем	5	4
24	их в	4	4
25	из них	8	4
26	так как	6	4
27	уже в	4	3
28	все же	6	3
29	отнюдь не	4	3
30	все это	6	3
31	в конце	2	3
32	то же	8	3
33	у всех	2	3
34	в нем	5	3
35	а не	4	3
36	и к	2	3
37	у нас	2	3
38	не в	9	3
39	в этой	2	3
40	еще не	6	3
41	при этом	6	3
42	было бы	2	3
43	в одном	7	3
44	и все	6	3
45	как он	2	3
46	в себе	4	3
47	но в	10	3
48	и потому	2	3
49	так сказать	7	2
50	только один	2	2
51	и есть	2	2
52	в некоторых	2	2
53	у него	9	2
54	быть и	2	2
55	на котором	2	2
56	и во	6	2
57	из этих	4	2
58	тем же	2	2
59	что все	2	2
60	с одной	2	2
61	еще более	4	2
62	как мы	6	2
63	уже не	3	2
64	или иной	2	2
65	роль в	3	2
66	и пр	2	2
67	и даже	3	2
68	и по	3	2
69	мы видим	2	2
70	во всяком	2	2
71	на этом	2	2
72	а на	2	2
73	могут быть	2	2
74	с этим	5	2
75	и они	3	2
76	что в	5	2
77	говорить о	2	2
78	с другом	4	2
79	тот же	3	2
80	со всеми	2	2
81	же самое	3	2
82	которой он	2	2
83	форма в	2	2
84	друг с	4	2
85	в его	8	2
