N	2gram	Tiupa_Vved_1	Hudozhes
1	в мире	8	23
2	в качестве	8	19
3	то есть	8	18
4	состоит в	10	16
5	и не	12	16
6	в том	10	15
7	и в	13	15
8	не только	20	15
9	в частности	13	13
10	может быть	18	13
11	тогда как	10	13
12	от лат	5	12
13	при этом	26	12
14	а в	6	12
15	и его	5	12
16	но не	5	11
17	в этом	21	11
18	в себе	5	11
19	художественного текста	2	11
20	представляет собой	15	10
21	как бы	4	10
22	отношению к	7	10
23	но и	19	10
24	так и	8	10
25	по отношению	7	10
26	то же	5	10
27	а не	15	10
28	такого рода	16	9
29	в его	4	9
30	в рамках	4	8
31	своего рода	10	8
32	присутствия в	7	8
33	сводится к	4	8
34	с другой	5	7
35	или иной	3	7
36	в отличие	2	7
37	в то	4	7
38	отличие от	2	7
39	но в	6	7
40	в основе	3	6
41	что в	3	6
42	не сводится	4	6
43	художественного письма	7	6
44	том что	7	6
45	не в	6	6
46	же время	3	6
47	отношение к	2	6
48	в тексте	10	6
49	приводит к	2	6
50	не может	7	6
51	по своей	3	6
52	в состав	4	6
53	могут быть	4	5
54	по сути	2	5
55	можно сказать	4	5
56	а также	8	5
57	только в	6	5
58	тем самым	5	5
59	в самом	2	5
60	того что	6	5
61	той или	3	5
62	в нем	5	5
63	то что	6	5
64	или менее	2	5
65	и т.п	9	5
66	другой стороны	2	5
67	уже не	5	5
68	коммуникативного события	5	5
69	картина мира	12	5
70	героя и	3	5
71	более или	2	5
72	место в	2	4
73	а на	2	4
74	в этих	3	4
75	не столько	4	4
76	прежде всего	7	4
77	к тому	6	4
78	в ходе	2	4
79	для него	3	4
80	еще не	7	4
81	например в	2	4
82	хотя и	7	4
83	он не	3	4
84	и тем	2	4
85	в своей	5	4
86	со стороны	5	4
87	во времени	2	4
88	сознания в	3	4
89	в слове	3	4
90	мы имеем	5	4
91	говорить о	2	4
92	без исключения	2	4
93	и т.д	5	4
94	к которому	2	4
95	композиционных форм	2	3
96	не менее	4	3
97	если бы	7	3
98	однако в	4	3
99	текста в	3	3
100	это не	6	3
101	и к	2	3
102	к его	3	3
103	тем не	3	3
104	и того	2	3
105	в пределах	2	3
106	по своему	2	3
107	в свою	4	3
108	о чем	2	3
109	имеет место	4	3
110	иначе говоря	6	3
111	как раз	2	3
112	человеческой жизни	3	3
113	далеко не	4	3
114	в целом	3	3
115	картины мира	5	3
116	так в	4	3
117	таким образом	4	3
118	как и	11	3
119	в той	4	3
120	лишь в	2	3
121	во втором	2	3
122	и для	3	3
123	являет собой	2	3
124	не следует	3	3
125	в рассказе	6	3
126	и адресата	2	3
127	их в	2	3
128	потому что	5	3
129	в данном	13	3
130	как правило	6	3
131	всего лишь	5	3
132	в области	3	3
133	слова в	2	2
134	художественного высказывания	2	2
135	по мысли	5	2
136	создает эффект	2	2
137	но на	2	2
138	и составляет	3	2
139	и более	3	2
140	с человеком	2	2
141	поскольку не	2	2
142	в нашем	6	2
143	жизни в	4	2
144	в своем	5	2
145	в них	2	2
146	в кадры	2	2
147	не как	2	2
148	и маргариты	2	2
149	в итоге	3	2
150	вследствие этого	3	2
151	по себе	2	2
152	в литературе	2	2
153	и рецептивного	2	2
154	при всей	2	2
155	об этом	4	2
156	есть в	2	2
157	одна из	4	2
158	свою очередь	4	2
159	времени и	7	2
160	имеем дело	3	2
161	могла бы	3	2
162	в войне	2	2
163	одной стороны	5	2
164	в аспекте	2	2
165	мира в	8	2
166	во всех	2	2
167	не вполне	3	2
168	за пределами	3	2
169	структуре текста	2	2
170	не является	3	2
171	не могло	2	2
172	не все	2	2
173	принадлежит к	3	2
174	коммуникативное событие	6	2
175	как в	4	2
176	жизни то	2	2
177	или напротив	2	2
178	здесь не	2	2
179	в романе	6	2
180	а с	2	2
181	с одной	5	2
182	вследствие этой	2	2
183	мастера и	2	2
184	следует подчеркнуть	5	2
185	времени в	3	2
186	и по	3	2
187	сводятся к	2	2
188	войне и	2	2
189	речевой деятельности	2	2
190	с ним	3	2
191	и мире	2	2
192	или иначе	2	2
193	и на	3	2
194	участок текста	2	2
195	в силу	2	2
196	нового времени	3	2
197	между двумя	3	2
198	всей своей	2	2
199	не принадлежит	2	2
200	в финале	2	2
201	начиная с	3	2
202	и соответственно	2	2
203	о том	5	2
204	всей его	2	2
205	мира и	2	2
206	бы не	2	2
207	писал бахтин	2	2
